time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15
1,relative_humidity_1000_min,6.050962171762743,-2.109304333617721,-0.4252864888048604,2.5875206920676437,-0.9319353918999711,-0.620409420467077,1.7535518590221695,0.5595980360436582,1.2079545025948688,0.5866905394571137,-0.21947890878256132,-0.2535961666266599,-0.17913405919776046,0.09084444000867031,0.37475293140868887
2,relative_humidity_1000_min,5.940231036867079,-2.1489574375369838,-0.44964478029534494,2.2807547498481826,-0.8857097102214854,-0.6385576286550598,1.4165046476176193,0.5336866143217652,0.1839829214402277,0.16422776796938868,-0.05334078655508525,-0.2959396724052266,-0.03021407145860949,-0.021660550790013174,-0.41274632027566677
3,relative_humidity_1000_min,5.850522520088879,-2.7142248171740295,-0.24349132701951662,1.4656244941183232,-0.6450616515658217,-0.20647890739217642,0.24034796821508866,-0.1859264896582005,-0.32353327153003975,-0.6861861192782778,0.06699298598949655,-0.07311537514336608,0.43403758131283454,-0.5532828477870134,0.17968021396980188
4,relative_humidity_1000_min,5.2870416950529675,-2.703822269526138,-0.4493771258836758,0.6065814834912613,-0.6281911333488186,0.3832740590257885,-0.7463358246647179,-0.08197302483186407,-1.1755545538605046,-0.7157523979476471,0.3096167068851054,0.4433464213116594,0.22775544203173745,0.17364264116815817,0.04503101301439054
5,relative_humidity_1000_min,5.344239230847229,-2.4459228585817616,-0.3646064810393907,0.4271320681169017,-0.2357594677471581,0.6268404132583969,-1.1584774010228114,-0.2759099018172645,-0.8194387168291617,-0.5763955898862617,-0.1199334924108297,0.7184175826969738,-0.10626862781413597,0.15537197215377457,-0.23081955011723
6,relative_humidity_1000_min,5.526401907074393,-2.04798177032786,0.2679462077665711,-0.16992451750237772,0.012991231369498424,0.8198072553922977,-1.2882987124826046,-0.5794845977630028,-0.4095268521271418,0.26982999783994965,-0.05111337814310036,-0.09230163358772527,-0.30754643677877247,0.4721406057112602,0.06091819369710444
7,relative_humidity_1000_min,5.1442038619446375,-0.9839909638161519,0.6046043585098558,-1.2842130637193034,0.8116236076279009,0.6495171791846049,-1.2830787591649178,-0.11613335405376295,0.20781128756335915,1.126506812915839,-0.0798220212360224,-0.5516121721615319,-0.29850021192072657,-0.08510063554805357,-0.47576110134972466
8,relative_humidity_1000_min,4.736775282381234,0.16014866587709736,1.3832858469658156,-1.6249351174194466,1.3781968238874498,0.48498558523720275,-1.0762584390380014,0.09516874964397756,0.4586870441240055,0.5625229233870792,-0.12309617372226767,-0.5056625036688293,0.20512119615291546,-0.21313620921066992,0.20124562526524348
9,relative_humidity_1000_min,4.121970138279205,1.5702366529018614,1.732110634433572,-1.5042137827303,1.6089884199262627,-0.11161779512847585,-0.28096726140269396,0.07053473773130337,0.8200048255156823,0.1327942225319741,0.0966763963143404,0.023288674807412663,0.2515655512612874,-0.0883208877051386,0.6156260949215605
10,relative_humidity_1000_min,3.0923851708898002,2.4810691826501268,1.8220809715968467,-1.709620629199431,1.5106740044711415,-0.4001078692906759,0.8215919357860793,-0.1151176238337776,0.9606318533617024,-0.23633884409221004,0.1076016133316689,0.7628599134019417,-0.09829021191053822,-0.07943560094888442,-0.11604548811158133
11,relative_humidity_1000_min,2.3362817540494456,2.966271330677702,1.055248555877064,-1.213403994443701,0.972153226662301,-0.6039039109185146,1.1000906139223403,-0.0717913853866576,0.1890530875443953,-1.0573914839201057,0.1700151221716806,0.5003136651548744,-0.005453611190721018,-0.3148032948943105,-0.433372094940918
12,relative_humidity_1000_min,1.5914965410344766,3.412057278254881,0.5687587978952917,-1.6129634874272067,0.24219659142487873,-1.4120045374703183,1.0750667455029692,0.0039007083578924445,-0.42293052466012,-0.46034193446733784,0.1224921983627176,-0.2874302713121147,0.11390254543513587,0.6929313719325991,-0.14851354052102472
13,relative_humidity_1000_min,0.845816532847522,3.9576162597871662,0.18489304933153006,-0.9240955318209746,-0.39465297968339363,-1.436206319615711,0.4095589444547652,0.0815616193480568,-1.0582407067502009,-0.2277591028032287,0.1259901710283872,-0.4931107412371949,-0.15217228321132417,0.16532552215790233,0.15495932905201085
14,relative_humidity_1000_min,-0.028851915532740743,4.174760856903243,-0.1639693271680914,-0.6650330103120166,-1.2190371196158558,-0.8883272529093292,0.0672200770174878,-0.27346346970176266,-1.1140464357663902,0.11111017001941169,-0.15625090421432267,-0.5254513541294445,-0.25902758453360164,-0.2539246739116185,0.28865283508805467
15,relative_humidity_1000_min,-0.2694847321714088,4.172033974791072,-0.966492645108331,-0.23240164851951814,-1.7468383235580236,-0.17037506304867978,0.14029324112224154,-0.18695627285992159,-0.5905642728460653,0.6553378260516186,-0.2612411913255167,0.1596600385250292,0.00022723044589404828,-0.42547632562832005,0.3362145897007101
16,relative_humidity_1000_min,-0.6039112699523265,3.9113171424556294,-1.3616506657854432,-0.10716138179972691,-1.812692420946957,0.44453954720632655,-0.09483839675625018,-0.04666907124533234,-0.11908229297801473,0.8096366294256861,-0.42796347605407287,0.7104561866723552,-0.0199736069333581,-0.36087223949943276,-0.13792636436685202
17,relative_humidity_1000_min,-0.9316443614929224,3.6972601117844235,-1.1530256330531719,0.11244929691347527,-1.6461880895491234,0.9788252506046928,-0.0868485589099649,-0.3140686616094951,0.4506054630044463,0.5977890559407627,0.019695716977695937,0.5307225249387797,0.05378614859365195,0.23432316595561428,-0.4102275007952828
18,relative_humidity_1000_min,-1.2119796167405295,3.5872804370700693,-0.8361636194092447,0.5051918377582373,-1.3391609436968945,1.1792967814169828,-0.5248353518300559,-0.12270360793544577,1.1907410354113184,-0.06940782918658257,0.3928852114662522,0.047168854262933595,0.3750909679408978,0.24375574508492673,-0.25596641249303054
19,relative_humidity_1000_min,-1.6578986801801654,3.2185327078874346,-1.3007781390409066,0.9997478369670435,-0.6908918744776522,1.0958018672603056,-0.6961010498932484,0.1677813724608199,0.6063533601633331,-0.7357932530858311,0.5331376082082101,-0.5330899198137707,0.3284660867502796,0.5852760500686314,0.2616780534170625
20,relative_humidity_1000_min,-2.1460878222184028,2.6287456245740817,-1.5519481185042916,1.2121730305507576,0.6654996049623577,0.8323247274325057,-0.8098806817680525,0.4496603043567359,0.31470264779019685,-0.9028872101974661,-0.011183325182171532,-0.5434368825881997,-0.25925984648983996,-0.07917032388385088,0.2311410877721299
21,relative_humidity_1000_min,-2.3072940033944915,1.7438420763475864,-1.8241941320031083,1.1884107202498675,1.4847454218531047,0.6468037187636386,-0.5699639145424004,0.6246017128926196,0.07891740789825026,-0.5681467242005797,-0.5319986954834807,-0.3540303384116548,-0.628897069778986,-0.6087117878207311,-0.03793943577548077
22,relative_humidity_1000_min,-2.1853263564039174,0.8149091747770341,-1.9479370628904114,1.0896532453885353,2.1982082396303593,0.6296803398637543,0.15673111645992382,0.7397297070024694,-0.2764197937583025,-0.20566372380594453,-0.7189739452309771,0.23598983292040396,0.05036093702424074,-0.032134067821680455,-0.3130758132907487
23,relative_humidity_1000_min,-2.4408213648284733,-0.1486226451245801,-2.1464304502592007,0.8903443874303651,2.407616969033359,0.26541445897121824,0.7550464683828831,-0.10654001841127515,-0.36432535303954994,0.50467656632069,-0.4031002829710935,0.34936598151018267,0.30951439186619656,0.43952563593511207,0.07250513157608977
