storm_number,variable,PCA_1
1,relative_humidity_700_max,6.8744490456793725
2,relative_humidity_700_max,4.529110609198362
3,relative_humidity_700_max,-0.40846284515900527
5,relative_humidity_700_max,-5.814672002533506
6,relative_humidity_700_max,-5.83580488296985
7,relative_humidity_700_max,-3.6377606233042656
8,relative_humidity_700_max,-5.3337621571279445
11,relative_humidity_700_max,-1.5159090690138417
12,relative_humidity_700_max,-0.8424298273484832
13,relative_humidity_700_max,0.5481401386105166
16,relative_humidity_700_max,2.693220546780495
19,relative_humidity_700_max,15.094734715526133
21,relative_humidity_700_max,3.879849119754194
26,relative_humidity_700_max,-2.075663323130086
27,relative_humidity_700_max,0.7352038997938273
29,relative_humidity_700_max,1.451876949094104
31,relative_humidity_700_max,-2.3237511928105423
32,relative_humidity_700_max,-4.283517228498063
33,relative_humidity_700_max,-3.017117731472791
34,relative_humidity_700_max,-1.8224830477415226
38,relative_humidity_700_max,3.8568508367046346
39,relative_humidity_700_max,0.4096435940310363
43,relative_humidity_700_max,6.923276101958815
44,relative_humidity_700_max,-1.660331481251632
45,relative_humidity_700_max,-3.905682117249941
46,relative_humidity_700_max,-4.573957398740197
47,relative_humidity_700_max,1.805261344903614
48,relative_humidity_700_max,-1.5742593561710958
49,relative_humidity_700_max,-2.4791753356047677
50,relative_humidity_700_max,-3.079965755732137
51,relative_humidity_700_max,4.9624224556434005
53,relative_humidity_700_max,-2.845469829026109
54,relative_humidity_700_max,-0.7156805960225257
56,relative_humidity_700_max,3.3972328331915413
58,relative_humidity_700_max,-1.819012009513583
60,relative_humidity_700_max,-4.506789296224784
61,relative_humidity_700_max,-5.948178549145201
62,relative_humidity_700_max,4.111162408550074
63,relative_humidity_700_max,-4.510016527642989
64,relative_humidity_700_max,-1.2935178945522021
65,relative_humidity_700_max,0.778253787858072
66,relative_humidity_700_max,5.536574417788834
67,relative_humidity_700_max,-2.0802598797630725
68,relative_humidity_700_max,15.215917349424878
69,relative_humidity_700_max,3.877540393577577
71,relative_humidity_700_max,-3.0012389091399303
72,relative_humidity_700_max,-1.026501426886253
73,relative_humidity_700_max,7.38291584839558
76,relative_humidity_700_max,-3.3443962418028033
77,relative_humidity_700_max,-4.233628275930669
78,relative_humidity_700_max,3.465398808312751
79,relative_humidity_700_max,-2.9499313914362255
80,relative_humidity_700_max,-5.944892212952841
81,relative_humidity_700_max,-6.633323168175239
82,relative_humidity_700_max,-5.073639027645586
83,relative_humidity_700_max,-5.299656284971072
85,relative_humidity_700_max,0.35823564699107213
86,relative_humidity_700_max,22.832796446871523
87,relative_humidity_700_max,-3.36293294651517
89,relative_humidity_700_max,6.117275041908634
90,relative_humidity_700_max,-1.8913873935311103
93,relative_humidity_700_max,-2.0403447702675637
95,relative_humidity_700_max,-4.131840333544434
