,0
0,4.7748513
1,4.64601
2,4.7921267
3,5.0116773
4,5.08763
5,5.2994623
6,5.663298
7,5.842933
8,5.922786
9,6.123135
10,6.0924478
11,6.5346494
12,6.9615345
13,7.125258
14,7.3181863
15,7.301328
16,7.4241323
17,7.519009
18,7.937038
19,8.243529
20,8.767381
21,9.066714
22,8.982492
23,9.441996
24,9.856848
25,10.297527
26,10.586441
27,10.815008
28,11.079716
29,11.12329
30,11.141493
31,11.062746
32,11.154663
33,11.275353
34,10.512181
35,10.942441
36,11.707384
37,12.25936
38,12.54326
39,12.786724
40,13.023581
41,13.03139
42,13.175646
43,13.565556
44,13.743277
45,13.693168
46,14.182284
47,14.176589
48,14.012004
49,13.719698
50,13.681918
51,13.818221
52,14.015419
53,14.339368
54,14.959174
55,15.574775
56,16.135515
57,16.680204
58,17.109827
59,17.58374
60,17.893164
61,18.355713
62,18.902185
63,19.43519
64,19.806675
65,20.009819
66,20.074947
67,20.097013
68,20.053995
69,20.117062
70,20.45966
71,20.704088
72,20.376781
73,20.430958
74,20.074903
75,20.10924
76,20.157778
77,19.71954
78,19.860723
79,19.322834
80,19.333302
81,19.162569
82,18.487658
83,18.805481
84,18.669844
85,18.24044
86,17.483849
87,16.79913
88,16.510149
89,16.309853
90,16.764017
91,16.986872
92,17.678173
93,18.079853
94,18.156761
95,18.989239
96,19.531673
97,18.883768
98,18.425743
99,17.569683
100,16.151428
101,15.450026
102,14.705871
103,14.161786
104,14.1985445
105,14.051604
106,12.900417
107,12.941962
108,12.877656
109,12.8613405
110,12.567862
111,12.080127
112,12.0538435
113,11.632366
114,11.267125
115,11.196644
116,10.908289
117,10.682711
118,10.349882
119,10.24607
120,10.13098
121,9.807692
122,9.634046
123,9.429837
124,9.204229
125,9.302831
126,9.016218
127,8.838962
128,8.74362
129,8.49443
130,8.196663
131,8.065693
132,7.9772243
133,7.9573855
134,7.7632003
135,7.7721534
136,7.59413
137,7.428266
138,7.6077886
139,7.6461964
140,7.3960657
141,6.946075
142,6.67106
143,6.6922703
144,6.703364
145,6.440842
146,6.4214454
147,6.4165797
148,6.595545
149,6.7224903
150,6.815716
151,6.896194
152,6.8998327
153,6.926784
154,7.0994487
155,7.416745
156,7.499743
157,7.397339
158,7.3625736
159,7.201934
160,7.3211646
161,7.4908996
162,7.8790975
163,8.062006
164,8.19197
165,8.107505
166,7.7006283
167,7.577561
168,7.4240036
169,7.6850977
170,7.63513
171,7.7117643
172,7.707865
173,7.6859937
174,7.732541
175,7.6611605
176,7.659204
177,7.5978703
178,7.8357673
179,7.6823106
180,7.58581
181,7.497583
182,7.334638
183,7.293096
184,7.4057307
185,7.7246532
186,8.375725
