,0
0,0.092584625
1,0.13766368
2,0.15904374
3,0.19466238
4,0.17689182
5,0.48103243
6,0.20473498
7,0.5452411
8,0.10877937
9,0.40529764
10,0.1056909
11,0.41613993
12,0.3473542
13,1.5096701
14,0.5981529
15,0.20921789
16,0.15817629
17,0.2299311
18,0.18336152
19,0.48106244
20,0.8340412
21,0.70739746
22,0.9913944
23,0.99841094
24,0.91935796
25,0.8044763
26,0.9283162
27,0.12845822
28,1.9025861
29,1.0698136
30,2.1534927
31,2.7041583
32,1.9677095
33,0.7834794
34,0.8466716
35,1.0244808
36,0.6806789
37,1.2288254
38,0.38581336
39,0.9613567
40,1.2071962
41,0.92699903
42,0.55914754
43,0.24652751
44,0.47296798
45,0.47494686
46,0.2929957
47,0.21326953
48,0.18916054
49,0.12647955
50,0.06780263
51,0.14074169
52,0.19277182
53,0.14556286
54,0.1793063
55,0.18189955
56,0.089857765
57,1.7466849
58,1.8264829
59,1.6264452
60,1.0004373
61,1.0000706
62,1.5685225
63,0.6191716
64,0.32273164
65,1.2313648
66,0.9538613
67,0.5631322
68,1.628984
69,0.3535647
70,2.049984
71,0.60911953
72,1.5969621
73,1.0345403
74,1.3219864
75,0.6245005
76,1.04231
77,1.3941251
78,0.31640816
79,1.7126303
80,0.3827087
81,2.3187873
82,1.5012892
83,0.45148787
84,0.8885001
85,0.5101995
86,0.33670092
87,0.3328024
88,0.03770348
89,4.482541
90,6.7670107
91,8.628573
92,9.1999235
93,9.515832
94,7.9533844
95,5.571606
96,3.7073905
97,0.4820264
98,0.9230449
99,0.7326388
100,1.7877685
101,1.8419777
102,1.1742649
103,0.5811959
104,0.985494
105,0.77906424
106,1.0775499
107,0.30446333
108,1.297402
109,1.1706543
110,1.8223289
111,1.731747
112,0.59878016
113,2.0899293
114,0.93000805
115,5.5731335
116,0.5076957
117,0.48644406
118,2.2004683
119,2.8571613
120,2.59318
121,2.6220815
122,3.1207695
123,2.5110753
124,0.8496589
125,3.4652047
126,2.368892
127,1.2337737
128,3.6632447
129,3.0756602
130,1.9046606
131,1.315982
132,3.3826559
133,1.0211176
134,0.51685506
135,0.5635471
136,0.27884737
137,0.48381206
138,0.12131128
139,0.31357792
140,0.24351716
141,0.16282295
142,0.09068219
143,0.29033375
144,0.14840774
145,0.19636555
146,0.21193221
147,0.19653253
148,0.31730238
149,0.53773516
150,0.69482833
