,0
0,12.269639
1,12.559595
2,12.907221
3,13.069734
4,13.457312
5,13.431501
6,13.803179
7,14.640066
8,15.303263
9,15.805735
10,16.795458
11,16.747969
12,16.983923
13,17.80325
14,18.913557
15,19.163418
16,20.034706
17,20.405062
18,19.88964
19,19.766191
20,19.950096
21,21.91691
22,21.849552
23,20.978266
24,21.151451
25,21.017054
26,21.46936
27,22.712835
28,23.00775
29,23.233816
30,22.720001
31,23.7815
32,24.914612
33,24.658346
34,24.162779
35,22.634687
36,23.291428
37,23.436455
38,25.49109
39,28.379364
40,29.6883
41,30.798311
42,30.954678
43,31.022837
44,30.873203
45,31.164402
46,32.006824
47,31.452232
48,30.384533
49,30.768751
50,29.388245
51,27.655525
52,27.66508
53,27.945604
54,28.018423
55,27.592958
56,27.461756
57,27.68672
58,30.253008
59,27.568872
60,28.683071
61,28.89212
62,28.103323
63,27.152569
64,27.385138
65,27.028969
66,26.70091
67,24.776958
68,24.16253
69,23.455526
70,23.404991
71,22.723732
72,23.695179
73,23.617552
74,22.83
75,20.83575
76,21.849033
77,21.687597
78,21.816507
79,21.677673
80,20.891441
81,20.971893
82,21.834852
83,20.941547
84,19.984665
85,20.139908
86,19.865541
87,19.860611
88,20.134396
89,19.616175
90,18.755886
91,18.447289
92,17.897009
93,18.13294
94,18.504742
95,18.757261
96,18.77969
97,18.865156
98,18.77033
99,18.98155
100,18.442547
101,17.740597
102,17.457182
103,17.19156
104,16.995373
105,16.34551
106,11.96054
107,11.68918
108,11.28837
109,11.027371
110,8.974681
111,8.521399
112,8.608077
113,8.996265
114,8.383796
115,8.213167
116,8.710489
117,8.472665
118,8.103959
119,8.101301
120,8.271837
121,8.22798
122,8.217103
123,7.320563
124,6.799778
125,6.891056
126,7.319568
127,8.209721
128,7.4272738
129,7.5460057
130,7.487882
131,7.370749
132,7.539169
133,7.6207156
134,8.113732
135,8.069823
136,8.469446
137,9.008672
138,8.943261
139,9.421607
140,10.424156
141,10.655488
142,10.880691
143,11.166532
144,11.166924
145,12.374407
146,12.05572
147,11.671448
148,11.434992
149,11.136485
150,11.461789
151,11.076571
152,10.97364
153,10.878991
154,10.2953615
155,10.916339
156,11.293618
157,11.36301
158,11.49237
159,11.445084
160,11.379779
161,11.37877
162,11.615827
163,11.848706
164,11.666731
165,11.491987
166,11.231218
167,11.604591
168,11.729996
169,11.793586
170,13.0025425
171,13.470232
172,13.522206
173,13.529476
174,13.570006
175,13.6052475
176,13.470575
177,13.463086
178,13.574158
179,13.57105
180,13.738553
181,13.628725
182,13.089475
183,12.22099
184,12.105793
185,12.049459
186,12.156682
187,11.964637
188,11.810523
189,11.837414
190,11.978937
191,12.002002
192,12.041592
193,11.9244
194,11.872731
195,11.733494
196,11.66419
197,11.6282425
198,11.742467
199,11.735727
200,11.601793
201,11.297184
202,10.5887575
203,11.156133
204,10.797206
205,10.470119
206,10.191873
207,10.207113
208,10.085715
209,9.799185
210,9.882006
211,9.291411
212,8.906006
213,8.779351
214,8.927888
215,8.36821
216,8.510059
217,7.965173
218,8.425343
219,8.426832
220,8.542724
221,8.661844
222,8.563935
223,8.440578
224,8.126348
225,8.017605
226,7.839999
227,7.4196033
228,7.1138434
229,7.216888
230,7.674296
231,8.158672
232,8.481409
233,8.2955885
234,7.767185
235,7.1833105
236,6.770248
237,6.581522
238,6.3289037
239,6.3203344
240,6.2487197
241,6.330041
242,6.42132
243,6.2258277
244,6.3039713
245,6.391076
246,6.4891095
247,6.5358744
248,6.4512515
249,6.3857293
250,6.5648475
251,6.5099397
252,6.576392
253,6.5851665
254,6.435718
255,6.107416
256,5.9739366
257,5.8041625
258,5.9104934
259,6.0316677
260,6.13819
261,6.2296505
262,6.3700476
263,5.9473715
264,5.416984
