,0
0,64.03642
1,64.89435
2,62.131145
3,61.303867
4,58.863777
5,59.39429
6,56.867237
7,55.515656
8,57.12217
9,55.430805
10,53.087063
11,52.489258
12,51.033928
13,49.21594
14,43.44786
15,38.47163
16,27.644846
17,26.277987
18,27.616886
19,30.125076
20,31.640036
21,31.686447
22,40.607018
23,39.511066
24,32.66503
25,28.367695
26,34.945877
27,45.66828
28,52.47475
29,63.159218
30,72.0506
31,74.81189
32,74.46918
33,73.58756
34,80.45898
35,83.54536
36,84.691826
37,83.30031
38,82.000336
39,78.12583
40,76.07518
41,71.99192
42,67.60454
43,64.41264
44,64.72276
45,64.94625
46,78.26594
47,84.462425
48,92.00266
49,92.30499
50,91.02439
51,89.32492
52,85.15773
53,77.91463
54,73.44367
55,72.20599
56,69.9897
57,73.12546
58,79.37025
59,80.41772
60,83.43203
61,83.71478
62,85.338135
63,84.18968
64,83.24249
65,82.306885
66,82.52966
67,85.879486
68,86.78295
69,86.686325
70,82.21517
71,79.312096
72,75.10007
73,73.69758
74,72.61475
75,65.835075
76,65.521225
77,63.109875
78,64.960495
79,67.92995
80,71.69324
81,71.95728
82,73.66805
83,76.012474
84,83.210014
85,87.56009
86,90.16985
87,92.44345
88,92.149
89,95.786156
90,95.86882
91,95.879326
92,95.75387
93,96.2836
94,96.56776
95,96.668945
96,96.41725
97,99.02615
98,98.96205
99,101.02018
100,100.50284
101,98.91047
102,98.05561
103,100.19424
104,100.70437
105,98.80458
106,94.47566
107,88.97792
108,83.168755
109,76.71195
110,67.79746
111,51.511814
112,48.12272
113,44.502426
114,41.546272
115,39.61188
116,39.493187
117,39.972267
118,34.467888
119,33.544025
120,33.981712
121,34.252197
122,34.895054
123,34.69301
124,34.515472
125,35.011276
126,35.92688
127,42.089844
128,54.663986
129,61.04282
130,58.333256
131,59.791553
132,60.249958
133,60.837635
134,62.05772
135,62.573223
136,64.06565
137,65.8129
138,67.16817
139,67.448586
140,68.29484
141,69.87345
142,70.07324
143,67.058945
144,59.199432
145,58.97057
146,58.59024
147,60.12844
148,61.507717
149,66.093704
150,67.03557
151,68.15946
152,66.604095
153,67.09275
154,70.70085
155,69.473236
156,66.53196
157,65.56298
158,65.79564
159,68.26033
160,68.70252
161,69.28833
162,70.81465
163,73.103004
164,75.44517
165,77.84045
166,80.34444
167,81.59687
168,81.634445
169,80.06694
170,80.51182
171,81.39187
172,80.75067
173,78.370186
174,75.77532
175,78.512634
176,78.433624
177,78.37066
178,89.54474
179,94.60573
180,98.818596
181,97.97485
182,98.20237
183,99.41366
184,96.48402
185,93.01474
186,90.15294
187,87.77646
188,79.953285
189,75.934296
190,78.13525
191,79.23434
192,82.01271
193,68.14899
194,53.493732
195,43.72529
196,39.158443
197,34.29419
198,32.69675
199,35.974514
200,43.263695
201,50.178085
202,61.531372
203,65.50447
204,68.54089
205,70.36719
206,66.92754
207,63.438026
208,63.105656
209,64.33383
210,64.220215
211,65.880486
212,67.2381
213,69.67326
214,73.4908
215,74.83631
216,74.394295
217,75.087204
218,76.04611
219,77.12503
220,77.780716
221,77.75855
222,79.32097
223,80.73885
224,80.90514
225,80.668015
226,78.94447
227,77.87449
228,77.98318
229,77.97668
230,78.49674
231,79.12192
232,80.44217
233,80.9913
234,81.53874
235,83.65169
236,85.63206
237,86.11165
238,86.70366
239,83.78514
240,82.68319
241,84.00785
242,87.23603
243,88.867165
244,88.69465
245,87.460205
246,87.99621
247,86.59964
248,86.10808
249,84.75146
250,83.69777
251,82.7632
252,80.71552
253,81.34134
254,81.52501
255,83.09741
256,83.07791
257,83.014984
258,81.99824
259,83.11262
260,83.31614
261,84.430374
262,88.30884
263,89.88836
264,88.77527
265,89.277115
266,89.72221
267,88.85768
268,88.38898
269,85.81727
270,84.00636
271,80.267586
272,78.0094
273,74.26112
274,68.18834
275,63.56025
276,59.65242
277,59.373276
278,58.658264
279,58.683502
280,58.284405
281,57.113808
282,56.408554
