,0
0,1.0085658
1,1.0891676
2,0.41644925
3,0.0021631776
4,1.318386
5,1.2145263
6,0.8028607
7,0.45967352
8,0.039174017
9,0.13603695
10,0.11806431
11,0.008206175
12,0.0141811725
13,0.0013777802
14,0.15619165
15,0.010230127
16,0.11714981
17,0.115479484
18,0.34607598
19,0.118580736
20,0.22182614
21,0.058790863
22,0.004995917
23,0.030819673
24,0.030135384
25,0.09311925
26,0.4070801
27,0.25591686
28,0.07687435
29,0.18710726
30,0.054810066
31,1.4823866
32,0.85143393
33,0.6213524
34,1.1555036
35,0.22917145
36,2.470393
37,2.3352222
38,0.5565437
39,1.4721887
40,0.39878002
41,0.027261136
42,0.041672107
43,0.19218461
44,0.55927324
45,0.2802396
46,0.08235383
47,0.022964237
48,0.023261093
49,0.060339134
50,0.07776466
51,0.049333815
52,0.038929585
53,0.75816613
54,0.62507415
55,0.8050864
56,0.46112302
57,0.30046976
58,0.9944267
59,1.0210894
60,0.17401981
61,0.07303865
62,0.13453701
63,0.036054857
64,0.11793024
65,0.07066539
66,0.5370381
67,1.3569438
68,1.5706701
69,3.790071
70,0.051929913
71,1.4536984
72,5.0591135
73,0.96147054
74,18.64401
75,2.5286047
76,0.5494718
77,10.950591
78,13.110638
79,12.978658
80,9.73834
81,9.169362
82,39.523323
83,46.7249
84,49.33735
85,51.966366
86,58.374214
87,62.886982
88,17.255754
89,32.787132
90,30.223305
91,10.806216
92,24.679224
93,6.7231474
94,2.0673347
95,0.21304627
96,1.1343728
97,3.3136473
98,2.202731
99,1.2133076
100,0.23138604
101,2.6113362
102,1.3608614
103,0.030484384
104,0.15538922
105,0.3489086
106,0.27844813
107,0.54433703
108,0.0
109,0.4233165
110,0.13498387
111,0.086031534
112,0.0038743904
113,0.7185597
114,0.313254
115,0.33865142
116,0.053707372
117,0.04341752
118,0.49837893
119,0.9720501
120,0.46878445
121,1.0008229
122,0.29290137
123,0.58844775
124,0.7887922
125,0.6591134
126,0.42142183
127,0.09814115
128,0.38407442
129,0.81699115
130,0.5827646
131,0.406936
132,0.5771095
133,0.49533045
134,0.063664384
135,0.55138713
136,0.706589
137,1.1010026
138,0.15975429
139,1.0195668
140,0.36119404
141,1.8914709
142,0.6395007
143,0.0032368798
144,0.010616637
145,0.6448294
146,0.07572845
147,0.0055554076
148,0.011467517
149,0.048141632
150,0.01757719
151,0.045633305
152,0.0088691665
153,0.11950508
154,0.28700224
155,0.39227816
156,0.7400042
157,0.067838125
158,0.10291315
159,0.15611352
160,0.42896008
161,0.11040771
162,0.23248714
163,0.063557096
164,0.0016352001
165,0.030627197
