,0
0,359.71396
1,359.9206
2,359.94653
3,359.94342
4,359.6807
5,359.942
6,359.92316
7,359.98148
8,359.95868
9,359.35785
10,359.71982
11,359.69595
12,359.82117
13,359.7553
14,359.8375
15,359.89584
16,359.93747
17,359.53912
18,358.76144
19,359.9232
20,359.32745
21,359.44846
22,359.9847
23,359.82358
24,359.589
25,359.87213
26,359.9943
27,359.3674
28,359.96014
29,359.70908
30,359.71918
31,359.83652
32,359.85345
33,359.87698
34,359.64923
35,359.96027
36,358.6537
37,357.32214
38,358.48648
39,356.8761
40,357.97418
41,358.861
42,358.08902
43,359.82526
44,354.05637
45,358.8742
46,359.20663
47,359.7488
48,358.09576
49,357.13144
50,357.11105
51,359.73196
52,359.28513
53,351.96878
54,354.86713
55,358.3636
56,357.47852
57,359.0612
58,358.98438
59,359.95377
60,359.16245
61,359.62207
62,358.74814
63,358.75406
64,359.96515
65,359.68918
66,359.4416
67,359.95523
68,359.53223
69,359.43875
70,359.65805
71,359.70334
72,359.15997
73,359.33447
74,359.84363
75,357.20108
76,355.36166
77,359.60846
78,359.1316
79,327.00662
80,348.29047
81,359.40283
82,359.5998
83,359.84607
84,359.8508
85,357.98535
86,359.66437
87,359.06058
88,359.23688
89,358.9593
90,358.5288
91,358.33923
92,359.92926
93,358.99033
94,358.68658
95,359.93268
96,352.25787
97,343.92715
98,358.82025
99,344.2891
100,356.93292
101,358.61557
102,335.6792
103,334.8912
104,333.27075
105,358.99698
106,359.31317
107,358.94327
108,359.55237
109,359.11786
110,359.79535
111,359.44626
112,358.29822
113,359.4982
114,358.81622
115,358.6874
116,359.18817
117,358.42032
118,356.04797
119,351.2484
120,346.42297
121,359.8153
122,357.12003
123,359.28223
124,358.6732
125,359.7996
126,354.5304
127,359.02695
128,359.31305
129,359.52353
130,357.27023
131,359.98447
132,359.84204
