,0
0,2.5188036
1,2.3507445
2,2.2306266
3,2.1720386
4,2.1048281
5,2.0147934
6,1.9917845
7,2.086522
8,2.346752
9,2.6953042
10,2.9376578
11,3.1235874
12,3.3238606
13,3.3315222
14,3.5578933
15,3.8840563
16,4.0887103
17,4.2360907
18,4.2942085
19,4.3722796
20,4.3315387
21,4.290738
22,4.1129284
23,4.1464615
24,4.1625276
25,4.0678806
26,4.0789423
27,3.888591
28,3.7618763
29,3.7262895
30,3.8373652
31,3.8746986
32,3.9734042
33,4.0524077
34,4.460871
35,4.471794
36,4.4786677
37,4.423659
38,4.435969
39,4.404092
40,4.4651375
41,4.4994683
42,4.6485
43,4.7268276
44,4.7999163
45,4.8391824
46,5.428407
47,5.395611
48,5.4157667
49,5.563319
50,5.5517764
51,5.626485
52,5.834839
53,6.2386165
54,6.768755
55,7.132189
56,7.3317347
57,7.5150576
58,7.70255
59,6.84233
60,5.858316
61,5.16102
62,5.1062603
63,5.1018963
64,5.1654367
65,5.2533607
66,5.163098
67,5.117433
68,5.116846
69,4.9587936
70,4.420619
71,4.292621
72,4.2840753
73,4.6520405
74,4.8795156
75,5.0033865
76,5.0407357
77,5.0314293
78,4.9544187
79,4.935879
80,4.9145746
81,4.8647375
82,4.7465444
83,4.761183
84,4.624644
85,4.3822174
86,4.169395
87,4.0003743
88,3.835908
89,3.7313771
90,3.5844464
91,3.4265103
92,3.2507586
93,3.0812252
94,2.8542893
95,2.698015
96,2.5064883
97,2.3246512
98,2.1995387
99,2.214242
100,2.2805312
101,2.3973875
102,2.5039115
103,2.509876
104,2.5511515
105,2.6863115
106,2.9075575
107,3.052587
108,3.0565858
109,3.0816884
110,3.084175
111,3.0932295
112,3.2166512
113,3.313638
114,3.3108728
115,3.2697327
116,3.2763965
117,3.3111346
118,3.0767508
119,3.1785579
120,3.290083
121,3.32468
122,3.290003
123,3.1994238
124,3.1067765
125,3.0164883
126,2.9882617
