,0
0,275.4375
1,274.44495
2,274.1986
3,273.9071
4,273.94745
5,274.16046
6,274.45868
7,274.80756
8,275.0287
9,275.6801
10,275.8269
11,275.67017
12,275.96323
13,276.01025
14,276.27625
15,275.364
16,275.5307
17,275.63892
18,275.23813
19,275.4795
20,275.3825
21,274.77005
22,274.73727
23,274.56354
24,274.86194
25,274.58392
26,273.4112
27,273.31427
28,273.21576
29,272.3919
30,272.00113
31,272.0845
32,273.18982
33,273.0526
34,272.7423
35,272.9442
36,273.80582
37,273.5764
38,274.85385
39,274.60986
40,274.8116
41,275.09454
42,274.86267
43,274.73682
44,274.55432
45,274.31982
46,274.22772
47,273.71625
48,273.5243
49,273.42114
50,273.30048
51,272.98254
