,0
0,289.40485
1,289.60858
2,289.6748
3,289.88824
4,289.8587
5,289.94073
6,289.84637
7,289.83435
8,289.9322
9,289.97614
10,289.7392
11,289.6109
12,289.52423
13,289.34366
14,288.87988
15,288.89563
16,289.04987
17,288.87485
18,288.99234
19,289.11838
20,289.28455
21,288.94995
22,289.00934
23,288.94897
24,289.0868
25,289.1896
26,289.06622
27,289.1154
28,289.0548
29,289.22876
30,289.41608
31,289.4179
32,289.48804
33,289.61804
34,290.3017
35,290.97284
36,291.45844
37,291.98022
38,292.3529
39,292.87476
40,292.99603
41,293.25458
42,293.4751
43,294.22797
44,294.57892
45,294.78064
46,294.94543
47,294.80215
48,294.6665
49,294.7105
50,294.45502
51,294.3861
52,294.32425
53,294.3009
54,294.3758
55,294.43945
56,294.6842
57,294.93707
58,295.0014
59,294.89853
60,294.85162
61,294.74112
62,294.55368
63,294.6009
64,294.68814
65,294.6228
66,294.7328
67,294.43622
68,294.39444
69,294.42932
70,294.17438
71,294.11807
72,294.31842
73,294.44815
74,294.31015
75,294.23364
76,294.16638
77,294.32794
78,294.5481
79,294.7598
80,294.85236
81,294.6206
82,294.69763
83,294.7732
84,294.74658
85,294.7514
86,294.82263
87,294.87277
88,294.8689
89,294.873
90,294.87738
91,295.02606
92,295.0946
93,295.01703
94,294.64603
95,294.9615
96,294.93042
97,294.985
98,294.97647
99,294.94476
100,294.90076
101,295.00574
102,295.12762
103,295.0698
104,295.23834
105,295.31006
106,295.38373
107,295.40387
108,295.40686
109,295.43353
110,295.43356
111,295.45502
112,295.56012
113,295.56168
114,295.62173
115,295.6859
116,295.5979
117,295.69525
118,295.72858
119,295.56778
120,295.47937
121,295.3778
122,295.31952
123,295.33945
124,295.42767
125,295.4679
126,295.46637
127,295.20758
128,295.46295
129,295.55255
130,295.69113
131,295.5726
132,295.55685
133,295.77634
134,295.6903
135,295.70013
136,295.67548
137,295.794
138,295.7905
139,295.42993
140,295.48767
141,295.6982
142,295.47412
143,295.31384
144,295.5066
145,295.6671
146,295.51923
147,295.3031
148,295.19116
149,295.06223
150,294.96268
151,295.12915
152,295.2873
153,295.46115
154,295.46497
155,295.62488
156,295.864
157,295.7624
158,295.72836
159,295.68127
160,295.73718
161,295.7751
162,295.65488
163,295.89142
164,295.9063
165,295.7473
166,295.4312
167,295.70047
168,295.7017
169,295.71417
170,295.6006
171,295.59677
172,295.57776
173,295.68683
174,295.8932
175,295.8576
176,295.75803
177,295.59302
178,295.48077
179,295.95834
180,295.87732
181,295.74792
182,295.7772
183,295.85892
184,295.84384
185,296.13303
186,296.2
187,296.27655
188,296.23236
189,296.25192
190,296.10736
191,296.16547
192,296.26407
193,296.27982
194,296.18848
195,295.97742
196,295.88385
197,296.00497
198,296.2779
199,296.0643
200,296.18573
201,296.30353
202,296.25525
203,296.31018
204,296.30096
205,296.3769
206,296.548
207,296.59082
208,296.67798
209,296.62225
210,296.6219
211,296.594
212,296.4712
213,296.68842
214,296.5603
215,296.55286
216,296.53775
217,296.52863
218,296.33807
219,296.30325
220,296.24646
221,296.21173
222,296.25833
223,296.31024
224,296.49133
225,296.52872
226,296.50854
227,296.5747
228,296.60114
229,296.50766
230,296.5175
231,296.17792
232,295.54816
233,295.43695
234,295.3191
235,294.99908
236,294.94952
237,294.6881
238,294.51974
239,294.06778
240,293.4892
241,293.5872
242,293.59583
243,293.68237
244,293.4002
245,292.57574
246,292.41846
247,292.59167
248,292.81
249,292.52185
250,292.0581
251,291.83984
252,291.58493
253,291.5503
254,291.27487
255,291.3415
256,291.3977
257,291.44354
258,291.11066
259,290.8785
260,290.8831
261,290.6346
262,290.35278
263,289.974
264,289.65576
265,288.51678
266,287.97852
267,288.00494
268,287.8673
269,287.41284
270,286.39185
271,287.13223
272,286.67737
273,286.81885
274,286.5678
275,286.59735
276,286.36963
277,285.85742
278,285.95917
279,285.70538
280,285.22668
281,284.79294
282,284.41724
283,284.6278
284,284.31592
285,284.2444
286,284.1136
287,283.73834
288,283.53946
289,283.00085
290,282.09918
291,282.09802
292,282.0938
293,282.12866
294,282.92798
295,283.64307
296,283.4762
297,283.4934
298,283.48425
299,282.1149
300,281.39368
301,281.09314
302,281.36633
303,281.61646
304,282.3335
305,282.76733
306,282.40686
307,282.30273
308,282.42145
309,282.3194
310,282.19122
311,282.17755
312,281.76468
313,281.59018
314,281.2803
315,281.26578
316,281.14774
317,281.43335
318,281.78186
319,281.90012
320,281.97235
321,280.2932
322,278.94818
323,275.74487
324,274.0465
325,273.37805
326,272.91217
327,272.49695
328,271.20413
329,271.01025
330,269.82794
