,0
0,55479.047
1,55542.97
2,55469.22
3,55483.97
4,55518.383
5,55449.547
6,55420.047
7,55380.71
8,55361.047
9,55306.96
10,55311.875
11,55188.953
12,55179.117
13,55169.28
14,55164.367
15,55070.945
16,54923.438
17,54844.773
18,54672.68
19,54603.844
20,54476.0
21,54392.414
22,54249.83
23,54087.57
24,53900.727
25,53876.14
26,53664.72
27,53147.18
28,53367.406
29,52966.1
30,52794.812
31,52706.727
32,52555.016
33,52217.33
34,51918.797
35,51845.39
36,51698.57
37,51444.086
38,51179.812
39,50724.68
40,50690.42
41,50675.734
42,50744.25
43,50680.633
44,50665.953
45,50597.438
46,50592.54
47,50641.477
48,50607.22
49,50533.812
50,50382.1
51,50401.68
52,50411.46
53,50406.57
54,50401.68
55,50367.42
56,50367.42
57,50303.797
58,50323.375
59,50259.75
60,50176.555
61,50147.195
62,50137.406
63,50127.617
64,50161.875
65,50147.195
66,50093.36
67,50122.72
68,50083.57
69,50039.523
70,50068.89
71,50112.938
72,50054.203
73,50010.164
74,50049.312
75,50049.312
76,49936.75
77,49887.812
78,49765.46
79,49677.375
80,49633.33
81,49584.39
82,49515.875
83,49432.68
84,49383.734
85,49217.344
86,49197.766
87,49212.445
88,49236.92
89,49217.344
90,49251.6
91,49251.6
92,49183.086
93,49212.445
94,49217.344
95,49207.555
96,49217.344
97,49197.766
98,49148.83
99,49143.93
100,49094.992
101,49070.523
102,49099.89
103,49070.523
104,49031.375
105,48957.96
106,48962.86
107,48948.17
108,48938.39
