,0
0,1698.674
1,1704.6942
2,1695.9631
3,1685.5149
4,1683.8752
5,1651.8866
6,1629.8127
7,1610.2474
8,1607.3363
9,1594.7662
10,1545.6003
11,1525.3848
12,1528.651
13,1501.4059
14,1477.7606
15,1451.2039
16,1418.7864
17,1379.1874
18,1346.8394
19,1338.1215
20,1330.6594
21,1327.1332
22,1245.1284
23,1262.088
24,1251.569
25,1227.987
26,1204.4066
27,1211.9451
28,1190.948
29,1179.0219
30,1169.122
31,1172.3782
32,1141.2775
33,1152.5408
34,1195.8595
35,1193.8527
36,1196.6445
37,1187.9672
38,1189.2225
39,1170.0784
40,1181.8638
41,1171.8882
42,1204.105
43,1190.8025
44,1193.8284
45,1203.4943
