,0
0,-1237.0156
1,-1246.7793
2,-1284.8535
3,-1335.6211
4,-1359.0527
5,-1169.6504
6,-1199.916
7,-1221.3945
8,-1162.8164
9,-1100.334
10,-1088.6172
11,-1051.5176
12,-1056.4004
13,-1025.1582
14,-1012.4668
15,-984.1543
16,-998.7988
17,-923.62305
18,-833.8047
19,-788.89453
20,-758.6289
21,-683.4531
22,-650.25977
23,-419.85352
24,-372.99023
25,-342.7246
26,-258.76367
27,-221.66406
28,-221.66406
29,-238.26172
30,-204.08984
31,-182.61133
32,-177.73047
33,-124.0332
34,-106.46094
35,-147.46484
36,-179.6836
37,-200.18555
38,-180.66016
39,-158.20508
40,-111.3418
41,-63.503906
42,-23.47461
43,-6.8789062
44,0.9316406
45,-1.9960938
46,15.576172
47,35.103516
48,82.94141
49,101.49219
50,158.11719
51,183.5
52,242.07812
53,268.43945
54,320.18164
55,363.13867
56,361.1875
57,332.875
58,278.20117
59,243.05469
60,202.05078
61,163.97461
62,185.45312
63,146.40039
64,197.16797
65,240.125
66,311.39648
67,267.4629
68,210.83594
69,195.2168
70,99.53906
71,35.103516
72,-77.171875
73,-245.0957
74,-453.04688
75,-707.8613
76,-906.0508
77,-1201.8691
78,-1428.3711
79,-1718.332
80,-2023.9121
81,-2251.3906
82,-2443.7227
83,-2505.2285
84,-2518.8965
85,-2453.4844
86,-2452.5078
87,-2527.6836
88,-2793.2363
89,-2916.25
90,-3000.213
91,-3103.7012
92,-3243.3105
93,-3341.918
94,-3441.5
95,-3549.8691
96,-3607.4707
97,-3654.334
98,-3713.8867
99,-3790.039
100,-3773.4414
101,-3835.9258
102,-3930.627
103,-4020.4453
104,-4094.6445
105,-4106.3594
106,-4133.6973
107,-4150.293
108,-4132.7207
109,-4116.123
110,-4107.336
111,-4081.9531
112,-4092.6914
113,-4098.549
114,-4127.838
115,-4103.4316
116,-4106.3594
117,-4111.242
118,-4091.7148
119,-4038.0195
120,-4009.707
121,-3937.461
122,-3871.0723
123,-3794.92
124,-3702.1719
125,-3607.4707
126,-3523.5098
127,-3408.3066
128,-3317.5098
129,-3194.496
130,-3055.8613
131,-2947.4922
132,-2828.3828
133,-2696.584
134,-2592.1191
135,-2518.8965
136,-2421.2676
137,-2342.1875
138,-2279.7031
139,-2175.2402
140,-2056.1309
141,-1933.1172
142,-1780.8145
143,-1582.625
144,-1479.1387
