,0
0,102181.38
1,102164.805
2,102104.4
3,102075.25
4,102096.21
5,102144.99
6,102139.46
7,102167.09
8,102130.89
9,102141.94
10,102023.04
11,101924.9
12,101842.586
13,101748.836
14,101781.414
15,101797.62
16,101849.63
17,101893.46
18,101846.77
19,101664.414
20,101572.0
21,101585.53
22,101642.125
23,101578.86
24,101595.25
25,101640.02
26,101687.09
27,101663.27
28,101709.39
29,101658.7
30,101548.375
31,101525.51
32,101488.54
33,101453.09
34,101398.02
35,101358.01
36,101364.68
37,101360.3
38,101411.17
39,101347.72
40,101407.17
41,101313.99
42,101176.6
43,101085.52
44,101055.03
45,101023.98
46,101003.39
47,100999.01
48,100952.9
49,100928.51
50,100795.695
51,100745.96
52,100630.1
53,100471.945
54,100335.125
55,100236.61
56,100086.08
57,100087.03
58,100048.92
59,100048.16
60,99869.23
61,99962.41
62,99981.84
63,99808.06
64,99705.35
65,99650.48
66,99735.08
67,99807.87
68,99799.484
69,99875.9
70,100052.54
71,100263.67
72,100456.7
73,100214.695
74,99857.23
75,99687.25
76,99697.16
77,99595.79
78,99698.305
79,99801.39
80,99875.13
81,99972.51
82,99982.414
83,100034.055
84,99896.29
85,99867.89
86,99658.09
87,99672.195
88,99732.984
89,99574.445
90,99601.695
91,99635.805
92,99664.95
93,99665.336
94,99655.81
95,99765.95
96,99815.875
