,0
0,126.7652
1,136.91791
2,149.82434
3,161.60535
4,154.9007
5,133.54169
6,135.21783
7,129.15973
8,83.30481
9,62.49652
10,37.042847
11,43.148865
12,30.146667
13,21.76587
14,26.243591
15,28.494446
16,22.963135
17,6.8480835
18,9.434143
19,-9.31488
20,-10.775574
21,-20.114136
22,-29.093567
23,1.484375
24,1.1970215
25,1.7238159
26,-3.831482
27,-8.894836
28,-1.6932983
29,-5.0440063
30,-5.3690796
31,-9.369934
32,-8.394714
33,30.538452
34,45.416565
35,13.784912
36,11.609497
37,13.884949
38,15.185242
39,2.3825684
40,9.73407
41,4.5079956
42,13.4348755
43,9.408997
44,12.684692
45,13.309814
46,9.309021
47,10.484253
48,6.333374
49,5.08313
50,6.533386
51,5.458191
52,4.958069
53,6.508423
54,10.809326
55,9.484009
56,13.859924
57,12.534668
58,5.283142
59,3.1577148
60,4.207947
61,4.3829346
62,4.1329346
63,4.858032
64,5.4331665
65,5.458191
66,7.508606
67,7.633667
68,7.708679
69,8.108765
70,13.684937
71,13.7099
72,13.534912
73,12.0095825
74,13.934998
75,10.15918
76,9.333984
77,7.4085693
78,6.5584106
79,7.133545
80,6.6834717
81,7.0585327
82,5.3581543
83,5.3081665
84,9.283997
85,6.8584595
86,5.833252
87,5.908264
88,7.2335815
89,7.883728
90,2.2575073
91,-5.9191895
92,0.95721436
93,-13.520813
94,-9.845032
95,-9.77002
96,-9.169891
97,-8.769806
98,-8.844818
99,-7.444519
100,-7.2944946
101,-7.5695496
102,-6.9694214
103,-7.344513
104,-8.294708
105,-8.6197815
106,-6.019226
107,-7.094452
108,-7.794586
