,0
0,-69.76224
1,-72.033966
2,-70.8981
3,-72.70212
4,-76.19876
5,-81.655334
6,-87.80231
7,-89.89584
8,-89.47269
9,-90.80899
10,-65.50836
11,-65.10748
12,-63.793427
13,-66.24332
14,-92.635254
15,-103.214325
16,-118.18088
17,-145.88686
18,-165.44139
19,-235.32993
20,-292.32315
21,-342.10034
22,-379.11588
23,-404.99557
24,-440.9198
25,-436.4209
26,-428.91534
27,-407.735
28,-432.5679
29,-428.29175
30,-434.77283
31,-451.72156
32,-456.86633
33,-518.98206
34,-606.2648
35,-632.9462
36,-638.6255
37,-570.7191
38,-497.7794
39,-462.21152
40,-469.04892
41,-435.3296
42,-412.81293
43,-344.4166
44,-299.11603
45,-270.586
46,-289.96234
47,-378.89316
48,-357.7128
49,-349.09366
50,-313.10263
51,-261.63275
52,-270.4078
53,-271.6773
54,-273.4145
55,-268.292
56,-288.55923
57,-303.08038
58,-294.28305
59,-263.30316
60,-291.54364
61,-314.72845
62,-337.64603
63,-385.4856
64,-392.43436
65,-431.81067
66,-472.32288
67,-496.57672
68,-479.27164
69,-472.99103
70,-483.12463
71,-458.22488
72,-426.71045
73,-422.4343
74,-413.12473
75,-404.50558
76,-352.85757
77,-358.11368
78,-352.34534
79,-349.80634
80,-338.00235
81,-321.89993
82,-299.31647
83,-294.28305
84,-296.97794
85,-288.87103
86,-279.1383
87,-266.91116
88,-248.64838
89,-234.55042
90,-242.39005
91,-251.03145
92,-245.06264
93,-239.33882
94,-223.92682
95,-218.87115
96,-208.91571
97,-201.67741
98,-187.24536
99,-190.45248
100,-184.08278
101,-178.6485
102,-173.03603
103,-153.9492
104,-143.03607
105,-144.50601
106,-143.59286
107,-139.8735
108,-136.06503
109,-122.70203
110,-123.72653
111,-129.31671
112,-130.27441
113,-123.592896
114,-126.42142
115,-133.01382
116,-135.64188
117,-137.17862
118,-129.62854
119,-137.91359
120,-147.31224
121,-146.17639
122,-141.8334
123,-133.0361
124,-128.09177
125,-117.06729
126,-117.49045
127,-107.60184
128,-100.02945
129,-86.933716
130,-92.724365
131,-106.97824
132,-105.99826
133,-113.14749
134,-118.203156
135,-120.45261
