,0
0,21.366928
1,22.02797
2,23.789404
3,23.904995
4,23.987373
5,24.251795
6,25.085331
7,23.855745
8,24.507662
9,24.616964
10,26.49058
11,23.202816
12,21.198668
13,20.710743
14,20.37262
15,21.672441
16,19.955145
17,18.797071
18,17.94955
19,16.87565
20,13.618543
21,11.820575
22,14.039081
23,15.077574
24,12.913568
25,13.443431
26,11.449037
27,10.747691
28,11.94877
29,15.038276
30,15.276749
31,15.576077
32,14.447457
33,12.895098
34,16.625025
35,15.498612
36,14.755947
37,12.039821
38,12.946415
39,10.999459
40,10.238683
41,10.514847
42,11.220924
43,12.814177
44,11.251061
45,10.718029
46,9.294147
47,10.228949
48,9.44022
49,8.477085
50,7.405295
51,10.0896015
52,10.702274
53,11.147747
54,13.202137
55,15.145176
56,15.657705
57,16.524897
58,12.216407
59,11.664459
60,11.182156
61,12.886902
62,15.946077
63,15.7679615
64,16.948881
65,16.571867
66,14.685834
67,13.734832
68,14.707922
69,15.601679
70,12.6835375
71,13.006199
72,12.851269
73,11.391329
74,11.705912
75,11.348031
76,12.269146
77,13.518036
78,14.249088
79,14.305442
80,11.665484
81,14.216951
82,13.133673
83,13.87943
84,14.659517
85,15.285436
86,16.211536
87,15.904524
88,15.550033
89,18.631357
90,18.705647
91,22.68074
92,26.668894
93,27.307175
94,28.370235
95,28.972555
96,30.324453
97,31.607359
98,31.852661
99,32.49026
100,34.822235
101,33.758377
102,31.23779
103,30.21143
104,28.469374
105,27.093037
106,26.575375
107,27.505264
108,25.966715
109,22.214552
110,18.68371
111,16.94966
112,19.257378
113,19.021395
114,21.45631
115,24.93811
116,26.512533
117,27.604368
118,29.456995
119,29.100035
120,28.238987
121,27.965698
122,24.369432
123,21.698088
124,19.2348
125,19.46811
126,20.650509
127,20.534111
128,20.037674
129,18.852236
130,20.368773
131,19.068403
132,18.14026
133,19.22038
134,20.638
135,17.534996
136,16.67631
137,17.518667
138,15.977394
139,15.439998
140,17.824596
141,15.534399
142,15.425917
143,13.991818
144,16.665195
145,17.426912
146,16.165628
147,18.752153
148,18.50284
149,19.522154
150,19.712023
151,17.832197
152,15.87536
153,12.260999
154,13.885358
155,14.258586
156,12.464331
157,10.714807
158,7.6713977
159,9.261839
160,14.353355
161,10.46462
162,7.2203755
163,4.556738
164,4.503567
165,5.6125784
166,6.280562
167,8.979137
168,9.285577
169,8.576331
170,11.152746
171,10.032227
172,8.1459465
173,8.429935
174,7.847764
175,5.429064
176,6.1402135
177,7.174149
178,5.9460864
179,5.7825217
180,5.4122005
181,6.042719
182,6.159118
183,7.7382646
184,9.542763
185,8.8804035
186,6.9472733
187,7.2605925
188,7.8576164
189,8.266947
190,7.3357744
191,8.363353
192,8.247982
193,7.7066755
194,7.434317
195,6.8758354
196,8.376147
197,8.259209
198,7.267118
199,6.788013
200,7.549734
201,7.0221663
202,6.6352806
203,7.196715
204,6.55708
205,6.2204623
206,7.272831
207,7.8864036
208,8.064535
209,8.175001
210,8.761733
211,9.565029
212,9.902351
213,9.471249
214,9.397695
215,10.503031
216,11.06577
217,11.963282
218,11.9296465
219,12.14245
220,11.759719
221,13.729109
222,13.541723
223,12.414385
224,12.172507
225,11.986221
226,13.069322
227,13.342454
228,12.393553
229,10.192071
230,9.995392
231,10.2856865
232,10.328484
233,10.876092
234,14.162892
235,17.249538
236,18.815586
237,21.225458
