,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.45968127
9,18.414928
10,52.38869
11,88.81816
12,117.2784
13,140.85808
14,129.90462
15,104.75739
16,54.236916
17,10.439781
18,0.024875708
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,2.5909228
32,14.236458
33,26.420933
34,42.89087
35,47.59217
36,43.39834
37,28.273088
38,15.120659
39,5.59063
40,0.040247235
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.09039247
54,4.7696548
55,13.84895
56,25.081184
57,34.050304
58,28.285322
59,19.664629
60,11.38886
61,1.7799054
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.5262942
77,7.334502
78,15.590335
79,22.304735
80,23.031866
81,14.933069
82,4.405295
83,0.0015575003
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.04941602
99,6.3016443
100,20.136654
101,30.823683
102,32.0201
103,25.914667
104,14.988642
105,1.8577702
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.9083247
122,6.4564767
123,11.180959
124,14.358858
125,14.884974
126,13.743352
127,8.9260235
128,4.311898
129,0.28325984
