,0
0,113.88599
1,105.9624
2,130.75952
3,142.96924
4,169.60718
5,181.55518
6,201.08374
7,214.00488
8,230.3518
9,233.93188
10,237.1521
11,240.7959
12,254.92944
13,268.02905
14,261.5559
15,230.22021
16,232.55225
17,227.22241
18,224.21191
19,174.76953
20,127.69531
21,146.11548
22,155.906
23,169.90137
24,158.22217
25,148.80078
26,150.46436
27,140.19116
28,143.35205
29,122.193115
30,96.4646
31,85.48462
32,71.72266
33,71.48218
34,65.7439
35,60.391846
36,60.58716
37,95.79126
38,125.61621
39,184.53394
40,220.30884
41,172.06763
42,183.91675
43,188.83472
44,135.17603
45,79.05493
46,164.20361
47,162.49976
48,165.4978
49,194.47119
50,195.30298
51,159.77612
52,173.55615
53,172.1294
54,194.75317
55,159.40625
56,162.02026
57,185.0476
58,180.5752
59,155.67554
60,128.32373
61,128.81763
62,153.83936
63,133.72437
64,124.61377
65,106.59302
66,78.833496
67,68.88257
68,47.941162
69,27.88623
70,31.591309
71,35.58545
72,35.236084
73,36.96582
74,38.335693
75,43.55493
76,49.76123
77,50.288086
78,54.635986
79,55.27002
80,56.16455
81,56.002197
82,54.971436
83,53.334473
84,56.128174
85,55.756348
86,50.93335
87,49.03711
88,51.453125
89,49.527832
90,49.341064
91,51.13086
92,48.82202
93,44.338135
94,41.412354
95,36.133057
96,30.358398
97,24.931396
98,19.816406
99,14.643066
100,11.637207
101,9.756592
102,7.3171387
103,6.3425293
104,5.2436523
105,3.1123047
106,2.03125
107,16.937988
108,19.717773
