,0
0,207844.16
1,205451.8
2,213398.7
3,265463.72
4,304595.12
5,306541.16
6,331262.2
7,326381.2
8,311493.44
9,312446.75
10,323975.0
11,313811.3
12,309959.03
13,276332.72
14,222003.47
15,126489.87
16,179199.73
17,220684.77
18,244976.8
19,250398.84
20,261177.53
21,280198.12
22,341773.94
23,364605.1
24,399316.34
25,425254.84
26,458885.38
27,508109.03
28,534681.25
29,515849.25
30,546261.6
31,531687.4
32,501300.78
33,516878.4
34,544663.7
35,611243.2
36,653440.7
37,623629.6
38,584145.6
39,556088.5
40,621845.8
41,668493.06
42,675423.94
43,690162.56
44,700887.75
45,687676.94
46,709118.1
47,690008.9
48,629346.1
49,586637.94
50,564142.7
51,535990.94
52,543550.75
53,547410.8
54,619635.06
55,664117.3
56,668489.44
57,611384.8
58,556222.94
59,529886.5
60,497233.0
61,471270.2
62,455464.12
63,438889.7
64,421822.22
65,404363.66
66,380907.0
67,351242.56
68,314459.06
69,268128.72
70,232848.19
71,212055.45
72,302719.3
73,440156.25
74,540320.25
75,592925.06
76,591710.94
77,493335.7
78,431096.8
79,394116.66
80,410009.56
81,407104.7
82,385734.5
83,407762.47
84,417776.38
85,444185.53
86,453417.0
87,479399.62
88,478217.72
89,471247.44
90,464865.28
91,455255.22
92,451741.1
93,449300.53
94,426990.94
95,441623.9
96,435218.8
97,437682.12
98,442311.84
99,436617.78
100,427869.03
101,411478.2
102,398477.78
103,409426.53
104,387697.66
105,356900.9
106,278138.78
107,253273.83
108,243247.22
109,197675.0
110,158543.77
111,136256.39
112,122423.1
113,118616.195
114,95319.64
115,71655.02
116,66089.95
117,69763.055
118,73216.055
119,80178.875
120,78867.87
121,76406.78
122,78552.14
123,77769.51
124,77150.305
125,75807.41
126,74691.164
127,73738.71
128,73926.66
129,68289.625
130,65228.28
131,72334.74
132,82963.96
133,67383.77
134,72200.48
135,84310.98
136,77060.74
137,81499.695
138,88093.164
139,78064.81
140,63424.61
141,41390.69
142,37726.66
143,23364.906
144,21327.959
145,46739.676
146,53856.695
147,54542.816
148,43589.65
149,44781.746
150,46591.293
