,0
0,1956.9221
1,1870.1818
2,1852.254
3,1836.0046
4,1808.6405
5,1799.2158
6,1769.264
7,1821.8867
8,1856.7054
9,1911.4286
10,2002.216
11,2022.0541
12,2109.5693
13,2229.666
14,2208.8696
15,2242.4678
16,2335.6343
17,2364.1218
18,2377.0625
19,2424.3545
20,2392.257
21,2321.088
22,2148.8245
23,2039.2103
24,1932.3381
25,1926.1484
26,1907.353
27,1903.8617
28,1900.9918
29,2006.8885
30,2000.6067
31,2093.715
32,2154.0378
33,2234.8647
34,2356.6506
35,2308.1807
36,2184.5437
37,2051.306
38,1711.7573
39,1198.2809
40,732.3519
41,801.62317
42,899.7673
43,1041.2892
44,1033.5126
45,911.5633
46,933.2404
47,1042.4126
48,1128.3962
49,1139.9498
50,1019.9932
51,935.2993
52,885.0212
53,907.79517
54,920.2723
55,870.58386
56,1016.5033
57,1160.3837
58,1353.7213
59,1436.6486
60,1489.4924
61,1486.5437
62,1441.4536
63,1358.6553
64,1105.814
65,809.98846
66,736.6182
67,761.29846
68,826.3433
69,852.4378
70,922.6848
71,982.99646
72,989.53296
73,1079.5514
74,1108.1106
75,1125.0935
76,1128.6416
77,1047.8188
78,1035.6042
79,1003.17535
80,1044.4175
81,976.8925
82,915.9072
83,913.2595
84,826.9755
85,832.94073
86,752.2234
87,741.0933
88,734.513
89,731.95276
90,722.44464
91,717.0416
92,693.0508
93,684.83435
94,671.102
95,738.341
96,734.6802
97,697.258
98,709.9587
99,689.9171
100,680.4648
101,690.06964
102,707.6543
103,831.6449
104,867.6469
105,1169.6833
106,1440.9359
107,1462.5399
108,1512.8774
109,1458.3187
110,1466.2255
111,1386.346
112,1198.8098
113,909.67017
114,667.78845
115,791.6335
116,1450.4337
117,2191.0828
118,2669.542
119,2990.0725
120,3343.3645
121,3564.529
122,3635.2722
123,3920.8916
124,4172.9355
125,4389.4526
126,4560.2866
127,4653.786
128,4673.057
129,4626.5674
130,4549.7744
131,4504.2544
132,4447.5005
133,4493.4155
134,4389.5747
135,4243.812
136,3977.9812
137,3627.2117
138,3372.8572
139,3195.6243
140,3181.5046
141,3183.3408
142,3202.2012
143,3193.4023
144,3144.3704
145,3128.861
146,3093.1284
147,3013.0747
148,2935.3071
149,2838.5398
150,2721.959
