,0
0,-0.079022594
1,-0.06811271
2,-0.061872836
3,-0.04821123
4,-0.07225058
5,-0.065696426
6,-0.06075492
7,-0.056243673
8,-0.066823006
9,-0.099370584
10,-0.13696155
11,-0.16620955
12,-0.16955248
13,-0.14685376
14,-0.12614162
15,-0.11445141
16,-0.12010875
17,-0.11911762
18,-0.10615723
19,-0.104592785
20,-0.11039318
21,-0.10430937
22,-0.108672686
23,-0.12047939
24,-0.12256459
25,-0.11867435
26,-0.12021929
27,-0.123663
28,-0.1302047
29,-0.09986479
30,-0.07822438
31,-0.07092025
32,-0.07316421
33,-0.090829305
34,-0.100382835
35,-0.10816493
36,-0.108997814
37,-0.11988766
38,-0.113691136
39,-0.091421045
40,-0.09727509
41,-0.07901337
42,-0.07416941
43,-0.06917861
44,-0.07344437
45,-0.088045076
46,-0.121119365
47,-0.14154322
48,-0.14644626
49,-0.16440181
50,-0.17016372
51,-0.18206742
52,-0.21097893
53,-0.22122014
54,-0.23589776
55,-0.23845929
56,-0.2498791
57,-0.24713224
58,-0.24736473
59,-0.24795103
60,-0.24597152
61,-0.24162988
62,-0.2309292
63,-0.21046412
64,-0.20750757
65,-0.18274696
66,-0.18007708
67,-0.17654881
68,-0.16127889
69,-0.16704027
70,-0.16694978
71,-0.17908269
72,-0.14905219
73,-0.13612053
74,-0.12749255
75,-0.13109504
76,-0.14121431
77,-0.12492886
78,-0.10997539
79,-0.10000676
80,-0.11326304
81,-0.13659035
82,-0.10947306
83,-0.08001534
84,-0.08349157
85,-0.061698884
86,-0.035928737
87,-0.0046052923
88,-0.032733753
89,-0.067455396
90,-0.08553287
91,-0.055314336
92,-0.04897042
93,-0.036706895
94,-0.014538147
95,0.012101199
96,0.028605022
97,0.0422081
98,0.044542026
99,0.034140434
100,0.012923248
101,0.013936041
102,0.0115733985
103,0.017410645
104,-0.0044286316
105,-0.021971801
106,-0.009164758
107,-0.00070421625
108,0.0055584107
109,-7.0207156e-05
110,-0.005554141
111,-0.013216473
112,-0.013933397
113,-0.0320488
114,-0.039903507
115,-0.0136158485
116,-0.008846129
117,-0.0099564595
118,-0.014553319
119,-0.012589507
120,0.0014568395
121,-0.00035415732
122,0.004662665
123,0.016033158
124,-0.0014130134
125,-0.009722364
126,-0.0003444034
127,-0.0012352736
128,0.00084287993
129,0.0017689704
