,0
100,0.7454035
101,0.4660282
102,0.3454995
103,0.23090227
104,0.20154959
105,0.32585475
106,0.10676303
107,0.22324044
108,0.12364835
109,0.21390858
110,0.07056989
111,1.2444751
112,2.077597
113,2.6599283
114,3.3757527
115,1.0701946
116,0.91486025
117,0.9471777
118,1.0555941
119,0.9239984
120,0.8264422
121,0.38527298
122,0.7330961
123,0.8411616
124,0.75577116
125,0.7356694
126,0.47017443
127,0.5504232
128,0.0507267
129,0.096695475
130,0.019822976
131,0.28712612
132,0.18741684
133,0.057436295
134,0.14529958
135,0.48493594
136,0.7191369
137,0.55526423
138,0.7960691
139,0.677379
140,0.44567576
141,0.21224417
142,0.15754496
143,0.16648948
144,0.17114232
145,0.10844328
146,0.169977
147,0.012117987
148,0.087132856
149,0.10671673
150,0.19445056
