,0
134,1.8484873
135,5.859978
136,0.026913848
137,0.71436596
138,0.6408046
139,0.30891898
140,3.6563926
141,1.254096
142,1.876894
143,1.0708387
144,2.4965613
145,5.5426655
146,0.22844681
147,1.2223657
148,3.5934818
149,1.4060757
150,4.1896625
151,0.4440919
152,1.4141022
153,2.324144
154,0.2902408
155,2.0862954
156,1.0322874
157,5.2978487
158,2.02885
159,1.2090491
160,9.22138
161,3.4660435
162,0.74166524
163,1.3117558
164,0.069050506
165,0.80444294
174,3.5649757
176,1.9208782
177,1.0761758
178,1.0599217
179,0.5718947
180,0.5585607
181,0.003973814
182,0.541442
183,0.18090025
184,0.26615798
185,0.47818312
186,1.3747512
187,1.5459626
188,0.9350857
189,0.85479933
190,0.21606725
191,0.9814679
192,1.3645774
193,2.154244
194,18.964504
195,79.447296
196,118.63983
197,150.7162
198,152.7501
199,144.32768
200,89.20397
201,4.2494254
202,3.7520626
