,0
94,23.537048
95,23.403412
96,23.011612
97,23.407242
98,23.277191
99,22.831848
100,24.421936
101,22.555786
102,21.832092
103,21.943954
104,20.603897
105,20.114883
106,19.86827
107,19.470078
108,19.404709
109,19.50412
110,18.905258
111,19.607971
112,20.0504
113,19.64737
114,19.021347
115,20.085938
116,19.342636
117,19.45839
118,19.544128
119,20.086853
120,18.589264
121,13.920395
122,16.98111
123,16.870178
124,14.709839
125,14.269562
126,13.025711
127,12.620331
128,12.407455
129,11.725235
130,11.870056
131,11.799484
132,11.382706
133,11.539642
134,11.96019
135,11.6766205
136,10.514313
137,9.37265
138,8.1679535
139,7.990921
140,7.59404
141,7.0257874
142,6.722046
143,6.484482
144,6.5845337
145,6.908737
146,8.461685
147,9.741882
148,8.732742
149,6.7927704
150,6.478363
151,6.2037964
152,5.7067413
153,5.4439697
154,4.974243
155,4.7323
156,4.4396667
157,4.305435
158,4.4541626
159,4.6643066
160,4.854416
161,4.590103
162,4.489517
163,3.8568573
164,3.7606354
165,3.0116882
166,3.4362488
167,4.5354004
168,5.1078644
