,0
134,7.459449
135,7.0466084
136,6.5470853
137,5.848621
138,5.4546776
139,4.40755
140,4.0040956
141,3.6303227
142,3.1614246
143,2.0721867
144,1.1428584
145,1.0540615
146,1.3901054
147,1.4685873
148,1.3931726
149,1.390182
150,1.7577946
151,1.7684368
152,1.5782151
153,1.2958653
154,1.1584259
155,0.66500366
156,0.68176347
157,0.59802705
158,0.80706435
159,1.2287223
160,1.2915258
161,0.8790865
162,0.9801356
163,1.1562096
164,1.1023853
165,1.35138
174,2.4129412
176,2.5288024
177,2.5645719
178,3.0921147
179,2.9384823
180,2.6365507
181,2.8328729
182,2.8530667
183,2.9718997
184,3.1091704
185,3.4250124
186,3.4146264
187,3.3643527
188,3.471756
189,3.446704
190,3.023066
191,2.9720356
192,3.042984
193,2.7508798
194,2.341905
195,2.120941
196,1.9974061
197,2.171152
198,2.148837
199,1.9116135
200,1.7827834
201,1.7292653
202,1.9806561
