,0
91,2.0502577
92,1.9164243
93,1.7354461
94,1.584068
95,1.5134506
96,1.5454785
97,1.5113152
98,1.497646
99,1.4870853
100,1.4658958
101,1.4257109
102,1.3216951
103,1.3543369
104,1.4061627
105,1.4696902
106,1.4631207
107,1.3663011
108,1.2584105
109,1.2323706
110,1.204418
111,1.2305511
112,1.1748656
113,1.101268
114,1.0697194
115,1.0456064
116,0.9993144
117,1.0190649
118,1.0669612
119,1.1470945
120,1.2093629
121,1.2256569
122,1.2356197
123,1.2507106
124,1.2127544
125,1.2086812
126,1.1887846
127,1.1488723
128,1.1091733
129,1.0871302
130,1.0659984
131,1.0013803
132,0.955781
133,0.9216422
134,0.8918142
135,0.8849337
136,0.83575714
137,0.8384401
138,0.8645264
139,0.90267277
140,0.98303
141,1.0618453
142,1.130948
143,1.2040812
144,1.181612
145,1.224488
146,1.258173
147,1.2936324
148,1.3579639
149,1.4129654
150,1.4211438
151,1.4514918
152,1.4698672
153,1.5865558
154,1.5628473
155,1.5086346
156,1.47639
157,1.4438473
158,1.3866364
159,1.3439876
160,1.3034499
161,1.2970687
162,1.2758354
163,1.258523
164,1.2090867
165,1.1767912
166,1.192385
167,1.2861205
168,1.3524964
169,1.3785744
