,0
138,280.26038
139,280.38263
140,280.238
141,280.30884
142,280.23978
143,280.0527
144,280.00803
145,279.9449
146,279.7989
147,279.5765
148,279.58713
149,279.5108
150,279.40964
151,278.8322
152,278.4708
153,277.727
154,277.2997
155,276.74335
156,276.53284
157,276.32617
158,276.21942
159,276.1086
160,275.82867
161,275.72897
162,275.85056
163,276.2671
164,276.15167
165,276.01114
166,276.04535
167,276.02777
168,275.80194
169,275.8267
170,275.21384
171,275.1631
172,275.1155
173,274.75345
174,274.61377
175,274.392
176,274.3795
177,274.48273
178,274.40387
179,274.27945
180,274.13034
181,274.17868
182,274.11172
183,274.15836
184,274.1111
185,274.50092
186,274.59464
187,274.84665
188,274.90152
189,274.8408
190,274.7986
191,274.4927
192,274.38626
193,274.37747
194,274.0012
195,274.0073
196,273.98526
197,273.74725
198,273.76245
199,273.6007
200,273.57944
201,273.59015
202,273.53802
203,273.35022
204,273.20544
205,273.20782
206,273.19028
207,273.1867
208,273.1678
209,273.67877
210,273.64813
211,273.75623
212,273.71582
213,273.597
214,273.4372
215,272.39658
216,271.95737
217,271.54294
218,270.57227
219,269.93213
220,269.75208
221,269.45288
222,269.04495
223,268.49173
224,268.47543
225,268.3075
