,0
116,963.01904
117,2357.082
118,1124.3896
119,1489.583
120,2011.6646
121,2096.3052
122,1008.1079
123,9334.517
124,9659.895
125,8832.211
126,
127,
128,
129,5014.951
130,5332.6826
131,5436.0444
132,
133,5598.997
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,2114.2349
151,2170.1348
152,5203.744
153,4795.8354
154,1490.6377
155,1631.7051
156,1614.8301
157,1495.3838
158,2543.2383
159,
160,
161,3049.7627
162,1621.9492
163,
164,1014.9634
165,1447.9219
166,1212.1943
167,2093.4048
168,1942.8447
169,
170,
171,807.4492
172,725.97314
173,740.4751
174,910.54736
175,2114.2349
176,992.5508
177,972.5117
178,1158.4043
