,0
80,9.058546e-06
81,9.502245e-06
82,1.1438773e-05
83,1.5571393e-05
84,1.179172e-05
85,2.7626083e-06
86,8.8147885e-07
87,8.889461e-07
88,2.3283064e-10
89,1.5257813e-06
90,3.0088913e-06
91,1.945521e-05
92,2.1716134e-05
93,4.219938e-05
94,5.160362e-05
95,7.3747695e-05
96,7.818939e-05
97,7.299787e-05
98,6.698576e-05
99,5.6106306e-05
100,5.300596e-05
101,3.5429362e-05
102,2.129679e-05
103,1.6807217e-05
104,1.6778617e-05
105,1.0676919e-05
106,7.949734e-06
107,4.9392625e-06
108,3.6211813e-06
109,2.8754225e-06
110,3.3295005e-06
111,8.584377e-06
112,7.049604e-06
113,4.7509593e-06
114,6.849055e-06
115,2.9519017e-06
116,6.9212706e-07
117,1.0807071e-06
118,1.8939907e-06
119,7.8452615e-07
120,4.4000994e-06
121,3.8377075e-06
122,1.5764524e-06
123,1.3067843e-06
124,2.237819e-07
125,9.1254755e-08
126,2.4431472e-07
127,3.010249e-07
128,7.562518e-07
129,1.7274792e-06
