,0
53,-585.778
54,-663.899
55,-779.50055
56,-919.78326
57,-1049.7194
58,-1138.6467
59,-1307.874
60,-1456.6045
61,-1618.8889
62,-1760.025
63,-1822.2391
64,-1956.7452
65,-1988.5294
66,-2110.277
67,-2164.536
68,-2192.6047
69,-2311.4678
70,-2355.5942
71,-2357.2483
72,-2403.409
73,-2436.6755
74,-2475.4885
75,-2498.7874
76,-2514.3228
77,-2502.288
78,-2492.2058
79,-2521.9688
80,-2508.5474
81,-2476.9624
82,-2476.291
83,-2475.964
84,-2448.0056
85,-2393.214
86,-2357.0388
87,-2313.011
88,-2244.2012
89,-2177.9824
90,-2111.9973
91,-2067.2842
92,-1957.6823
93,-1894.0459
94,-1825.7638
95,-1771.8287
96,-1712.1163
97,-1676.4751
98,-1609.553
99,-1575.6649
100,-1525.5549
101,-1493.1373
102,-1446.3627
103,-1399.6273
104,-1364.452
105,-1284.3395
106,-1222.2125
107,-1181.5933
108,-1110.0016
109,-1062.549
110,-1009.7328
111,-936.51
112,-882.2433
113,-855.9931
114,-804.62085
115,-751.50714
116,-712.3804
117,-667.8246
118,-590.7712
119,-545.84033
120,-490.00195
121,-432.23633
122,-376.57306
123,-296.15314
124,-209.87132
125,-166.145
126,-117.64058
127,-102.36292
128,-62.947178
129,-40.202187
