,0
111,-417.06055
112,-500.3164
113,-594.21875
114,-708.4531
115,-696.83594
116,-657.14453
117,-653.2715
118,-714.2617
119,-805.2617
120,-722.00586
121,-822.68555
122,-977.5801
123,-1036.6328
124,-991.1328
125,-1075.3555
126,-1002.75
127,-1025.0156
128,-842.0488
129,-600.9961
130,-571.9531
131,-702.64453
132,-813.00586
133,-667.79297
134,-555.4961
135,-477.08203
136,-533.23047
137,-464.4961
138,-395.76367
139,-330.90234
140,-394.79492
141,-349.29492
142,-437.39062
143,-315.4121
144,-320.25195
145,-455.7832
146,-614.5488
147,-736.52734
148,-740.4004
149,-698.7715
150,-639.71875
151,-477.08203
152,-308.63672
153,-236.0293
154,-193.4336
155,-87.91406
156,-75.328125
157,-70.48828
158,-35.63672
159,58.265625
160,78.5957
161,146.36133
162,211.22266
163,139.58594
164,165.72266
165,195.73438
166,196.70117
167,268.33984
168,298.3496
169,382.57227
170,399.03125
171,436.78516
172,500.6797
173,515.1992
174,553.9238
175,575.2207
176,653.63477
177,666.2207
178,698.16797
179,734.9551
180,757.2207
181,731.08203
182,775.6133
183,819.17773
184,705.9121
185,635.2422
186,552.9551
187,485.18945
188,405.80664
189,405.80664
190,458.08398
191,479.38086
192,475.50977
193,519.07227
194,549.08203
195,565.541
196,579.09375
197,642.9863
198,678.8047
199,743.666
200,766.9004
201,813.36914
202,911.14453
203,954.709
204,1011.8242
205,1042.8027
206,1073.7812
207,1097.0156
208,1097.0156
209,1100.8887
210,1099.9199
211,1173.4941
212,1191.8887
213,1209.3125
214,1231.5801
215,1263.5254
216,1266.4297
217,1250.9414
218,1235.4512
219,1236.4199
220,1255.7812
221,1249.0039
222,1255.7812
223,1281.9199
224,1292.5684
225,1301.2812
226,1298.377
227,1291.5996
228,1314.834
229,1292.5684
230,1282.8867
231,1296.4414
232,1309.0254
233,1335.1641
234,1305.1543
235,1307.0898
236,1293.5371
237,1301.2812
238,1273.207
239,1243.1953
240,1312.8984
241,1294.5039
242,1241.2598
243,1262.5586
244,1277.0781
245,1304.1855
246,1260.6211
247,1229.6426
248,1200.6016
249,1188.9844
250,1144.4512
251,1112.5059
252,1091.207
253,1072.8145
254,1013.7617
255,1001.1758
256,954.709
257,923.73047
258,917.9219
