,0
37,634.02185
38,677.3089
39,667.97015
40,719.8871
41,711.71686
42,708.9221
43,765.9387
44,763.0313
45,804.5516
46,859.06757
47,894.2386
48,904.575
49,832.19183
50,751.64264
51,726.9562
52,632.569
53,597.6357
54,549.85657
55,536.5519
56,517.2721
57,504.79117
58,459.49872
59,364.14267
60,314.6804
61,304.48138
62,268.27057
63,261.3212
64,263.8593
65,269.2467
66,271.23303
67,269.01358
68,276.91635
69,282.50858
70,293.57758
71,310.7342
72,319.719
107,330.57855
108,311.7368
