,0
43,0.45182812
44,0.4511958
45,0.44796646
46,0.43791604
47,0.43361446
48,0.43450928
49,0.42485353
50,0.42017075
51,0.41449165
52,0.41066948
53,0.4069398
54,0.40445176
55,0.40711388
56,0.41748306
57,0.406778
58,0.40720204
59,0.40577897
60,0.38307777
61,0.37897405
62,0.36545122
63,0.3855483
64,0.38665882
65,0.38137376
66,0.36531255
67,0.3627484
68,0.351492
69,0.3477025
70,0.34500718
71,0.34306303
72,0.34164038
73,0.3211613
74,0.29824033
75,0.2907062
76,0.30384296
77,0.3378781
78,0.33131045
79,0.32577008
80,0.3106308
81,0.28247175
82,0.2848556
83,0.28393623
84,0.28142095
85,0.30500212
86,0.34008276
87,0.36627403
88,0.38218328
89,0.39890122
90,0.4112913
91,0.42011428
92,0.41424584
93,0.4207529
94,0.4114098
95,0.41523233
96,0.4035497
97,0.39855778
98,0.3914565
99,0.3956434
100,0.4011482
101,0.40103662
102,0.3931578
103,0.38714918
104,0.3952607
105,0.39293703
106,0.3901683
107,0.39099112
108,0.3789709
109,0.37145373
110,0.3709969
111,0.36486813
112,0.36550125
113,0.37006646
114,0.37008932
115,0.37862125
116,0.38671097
117,0.39363036
118,0.3938153
119,0.39932883
120,0.39577585
121,0.3874446
122,0.37744716
123,0.36006436
124,0.33990914
125,0.33790728
126,0.3162553
127,0.29161516
128,0.2792847
129,0.26258284
130,0.24596995
131,0.2245064
132,0.21330446
133,0.21812016
134,0.22721133
135,0.24688219
