,0
6,21.686714
7,21.650763
8,21.617802
9,21.47133
10,20.722265
11,20.185055
12,19.855236
13,19.173439
14,18.703016
15,19.30391
16,19.637478
17,20.211332
18,20.652313
19,20.912033
20,20.995344
21,21.003117
22,21.059132
23,21.298662
24,21.37474
25,21.59118
26,20.920563
27,19.546227
28,18.839329
29,18.003185
30,17.65917
31,17.736404
85,9.476384
86,8.572894
87,7.776804
88,7.5556273
89,7.415858
90,7.167221
91,7.3479266
92,7.451717
93,7.560963
94,7.304485
95,7.148471
96,6.9026427
