,0
12,4.8420506
13,3.9589996
14,3.133051
15,3.2560978
16,3.1378765
17,4.0434437
18,3.264141
19,2.855589
20,2.4341698
21,2.0014915
22,1.0211277
23,1.6918602
24,2.1824436
25,1.8004322
26,1.8559246
27,2.6207523
28,4.0185127
29,5.7950687
30,6.5470295
31,2.1237354
32,5.4363804
33,3.2609234
34,3.3397388
35,2.2821693
36,1.8285809
37,1.7248344
38,1.754591
39,1.6894474
40,2.1148891
41,1.923481
42,1.7722836
43,1.5334263
44,2.0151634
45,2.4607105
46,3.2625313
47,2.2178307
48,2.7639065
49,3.8045864
50,3.640522
51,3.2006054
52,3.6260471
53,4.585499
54,7.2394753
66,6.0492077
67,4.935341
68,5.6277885
69,6.3910065
70,6.913759
71,6.2944984
72,4.1037617
73,4.157646
74,3.7281837
75,3.2014103
76,2.649706
77,2.6279907
78,2.563652
79,3.1652203
80,3.1418972
81,2.480011
82,1.7015114
83,1.342823
84,1.1530228
85,1.246315
86,1.005043
