,0
63,98377.016
64,98261.266
65,98168.77
66,98062.95
67,97925.11
68,97875.9
69,97781.04
70,97726.86
71,97623.45
72,97579.67
73,97545.43
74,97535.66
75,97475.63
76,97464.0
77,97487.2
78,97460.34
79,97482.89
80,97485.24
81,97453.72
82,97501.84
83,97508.734
84,97544.48
85,97560.42
86,97557.445
87,97584.78
88,97592.41
89,97591.836
90,97638.85
91,97662.46
92,97717.11
93,97736.19
94,97784.11
95,97837.76
96,97899.27
97,97960.5
98,98027.266
99,98122.99
100,98240.45
101,98272.8
102,98312.54
103,98403.66
104,98449.13
105,98517.984
106,98615.875
107,98678.39
108,98740.77
109,98844.86
110,98925.0
111,98995.484
112,99051.78
113,99059.38
114,99109.69
115,99168.69
116,99204.03
117,99256.92
118,99319.305
119,99388.58
120,99424.36
121,99492.55
