,0
95,-83.77895
96,-79.424416
97,-77.17053
98,-77.085396
99,-74.18236
100,-77.86431
101,-78.49273
102,-79.863106
103,-77.66099
104,-80.926
105,-79.59665
106,-80.68149
107,-81.59458
108,-80.77206
109,-70.942604
110,-69.6673
111,-64.762825
112,-59.398556
113,-55.84647
114,-55.971794
115,-52.54604
116,-47.664265
117,-44.162956
118,-41.72017
119,-36.37976
120,-32.42113
121,-31.204998
122,-34.245975
123,-32.763653
124,-37.956203
125,-44.95418
126,-44.369667
127,-45.154957
128,-42.95524
129,-37.216053
130,-29.450483
131,-23.99769
132,-22.776333
133,-20.15677
134,-16.855232
135,-18.69897
136,-18.242844
137,-18.470835
138,-18.239391
139,-16.663116
140,-16.30305
141,-16.201202
142,-16.016663
