,0
66,-122.26641
67,-118.32614
68,-110.99769
69,-107.927155
70,-110.43047
71,-112.70691
72,-111.49684
73,-114.484184
74,-98.98025
75,-97.460106
76,-96.52231
77,-97.505486
78,-103.40454
79,-96.18954
80,-110.58173
81,-124.043686
82,-117.244644
83,-120.171486
84,-114.673256
85,-108.161606
86,-105.84736
87,-107.0423
88,-100.90122
89,-108.47925
90,-100.65921
91,-105.03056
92,-111.04307
93,-106.24819
94,-101.93734
95,-102.701195
96,-94.76015
97,-102.8222
98,-99.955864
99,-109.50024
100,-106.422134
101,-104.054955
102,-105.97593
103,-108.65319
104,-103.66924
105,-101.173485
106,-108.94814
107,-105.469215
108,-110.33215
109,-105.249886
110,-106.649025
111,-113.561516
112,-116.57911
113,-114.96065
114,-107.01205
115,-105.18182
116,-104.34991
117,-106.626335
118,-98.88193
119,-73.394966
120,-70.241234
121,-68.01018
122,-77.53943
123,-70.30174
124,-70.27905
125,-68.93285
126,-52.12053
127,-53.54236
128,-55.221313
129,-59.660736
130,-62.716156
131,-57.42212
132,-56.892715
133,-61.203568
134,-65.000145
135,-57.285995
136,-42.18289
137,-42.787918
138,-37.993042
139,-36.35945
140,-35.640976
141,-51.296173
142,-38.91571
143,-43.27951
144,-46.95508
145,-66.686676
146,-66.46735
