,0
47,-6.1035156e-05
48,-6.1035156e-05
49,-6.1035156e-05
50,4.369751
51,71.32028
52,150.7763
53,230.69418
54,291.5696
55,311.21603
56,265.3685
57,160.49295
58,90.62918
59,17.976562
60,-6.1035156e-05
61,-6.1035156e-05
62,-6.1035156e-05
63,-6.1035156e-05
64,-6.1035156e-05
65,-6.1035156e-05
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,9.571167
76,41.843933
77,80.9032
78,96.338776
79,115.68396
80,107.127075
81,69.7276
82,27.975891
97,0.0
98,0.0
99,5.9750977
100,41.069397
101,92.22632
102,121.49307
103,136.3754
104,118.74527
105,77.694336
106,40.571472
107,3.8727417
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,15.398743
124,55.785767
125,86.56476
126,116.21878
127,95.21384
128,50.62213
129,20.746765
130,1.5675659
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,4.1309204
147,25.873535
