,0
38,-65.17651
39,-62.05493
40,-62.296387
41,-62.753906
42,-64.48486
43,-69.831055
44,-84.46362
45,-86.15088
46,-87.5647
47,-103.46387
48,-96.84619
49,-95.43555
50,-107.00098
51,-102.85449
52,-58.72998
53,-43.80493
54,-44.8667
55,-48.406982
56,-60.720703
57,-75.57007
58,-79.91846
59,-85.00342
60,-77.134766
61,-58.67383
62,-34.97534
63,-36.68213
64,-32.742188
65,-29.82251
66,-25.83081
67,-36.64795
68,-45.585938
69,-44.807617
70,-31.24878
71,-21.331543
72,-52.89502
