,0
98,-63.2568
99,-57.360867
100,-52.21352
101,-43.22157
102,-32.707222
103,-29.515572
104,-24.661034
105,-17.144573
106,-15.374187
107,-8.644657
108,1.1623263
109,7.0742583
110,8.967528
111,8.387328
112,6.5022597
113,0.8497582
114,-1.0866055
115,-1.2310678
116,-0.6132382
117,0.1946202
118,-1.2350942
119,-3.302086
120,-4.1549954
121,-5.0605917
122,-5.3892293
123,-5.9035263
124,-5.873278
125,-7.6798015
126,-8.999502
127,-10.53324
128,-10.838316
129,-10.974741
130,-11.309952
131,-11.440326
132,-11.987712
133,-9.51188
134,-10.112032
135,-10.344642
136,-10.619608
137,-11.218721
138,-11.441125
139,-12.064602
140,-12.200505
141,-12.094768
142,-11.628663
143,-11.119847
144,-9.878937
145,-8.073356
146,-6.7274227
147,-4.5740037
148,-5.20874
149,-4.677132
150,-4.1499944
151,-4.9048357
152,-5.196455
153,-6.394048
154,-6.7301536
155,-7.0294313
156,-11.862704
157,-14.427291
158,-13.983789
159,-12.019275
160,-15.344306
161,-21.115496
162,-32.13667
