,0
49,-0.001519531
50,-0.0013291063
51,-0.0016015014
52,-0.0016595116
53,-0.0016185269
54,-0.0017471574
55,-0.0018499373
56,-0.0016323989
57,-0.0016790591
58,-0.0017149998
59,-0.0014709793
60,-0.0013600029
61,-0.0013871165
62,-0.0014369292
63,-0.0018139957
64,-0.0016979752
65,-0.0015844768
66,-0.0013316283
67,-0.0010377942
68,-0.0008807881
69,-0.0012799231
70,-0.0011109374
71,-0.00077422615
72,-0.0006273091
73,-0.0005938895
74,-0.0008915076
75,-0.00076665916
76,-0.0008379109
77,-0.0006273091
78,-0.0006569447
79,-0.0005522743
80,-0.000479131
81,-0.00048795808
82,-0.0006462252
83,-0.0008461084
84,-0.00063550565
85,-0.00050498266
86,-0.0004785005
87,-0.00031644944
88,-0.0003668936
89,-0.0004160758
90,-0.00031771138
91,-0.00036121812
92,-0.00051254965
93,-0.0005718209
94,-0.0005812794
95,-0.00052957423
96,-0.00056173187
97,-0.0006380277
98,-0.00041292328
99,-0.00040914025
100,-0.0002842918
101,-0.000209257
102,-0.00022943411
103,-0.00029564183
104,-0.00028555281
105,-0.0003675241
106,-0.0003025774
107,-0.00032842997
108,-0.00023321807
109,-0.00017016288
110,-0.00011152215
111,-0.00012161117
112,-0.00013800524
113,-0.00012728572
114,-0.0001247637
115,-0.00013611373
116,-0.00012728572
117,-0.00012665521
