,0
54,9.622749
55,9.241439
56,8.297692
57,6.849893
58,5.358012
59,5.3218064
60,5.4642134
61,4.5132513
62,3.9010696
63,3.6819978
64,4.953179
65,6.558417
66,8.00497
67,8.654712
68,9.104646
69,8.788088
70,7.7729793
71,5.304992
72,5.990693
73,6.686424
74,7.194472
75,6.914743
76,6.643319
77,7.182422
78,6.871016
79,6.457242
80,5.9230847
81,6.593165
82,6.0584655
83,4.926209
84,4.714873
85,4.9793763
86,4.941398
87,4.925562
88,5.0979486
89,4.847145
90,5.2585683
91,6.0470753
92,4.908231
93,3.3518
94,3.6827338
95,4.5705304
96,4.0846577
97,2.9950795
98,2.22267
99,2.2030632
100,2.219152
101,2.0847552
102,1.797846
103,1.7339233
104,1.8934418
105,2.0474222
106,1.8852379
107,1.5488126
108,1.1844994
109,1.0170486
110,0.9989885
111,0.91572624
112,0.820363
113,0.8040512
114,0.6728142
115,0.43609866
116,0.47169065
117,0.5064126
118,0.45375738
119,0.49977437
120,0.53551596
121,0.59558076
122,0.5451823
123,0.46290264
124,0.41450396
125,0.45269847
126,0.49349222
127,0.60699594
128,0.6762655
129,0.82132804
130,1.0815749
131,1.1791985
132,1.1676716
133,1.0942851
134,1.125247
135,1.0575552
136,1.101558
137,1.0907556
138,0.9544284
139,0.9286741
140,1.0117409
141,1.1269404
142,1.2313592
143,1.3299237
144,1.2506505
145,1.1852572
146,1.0926224
147,1.0728565
148,1.2004455
149,1.2626438
150,1.2903994
151,1.3052915
152,1.3502187
153,1.444259
154,1.5753597
155,1.6596068
156,1.6594349
157,1.5393372
158,1.4064045
159,1.4220257
160,1.522919
161,1.5163218
162,1.4909375
163,1.4384671
164,1.613071
165,1.728915
166,1.4527417
167,1.5956296
168,1.6562307
169,1.6494907
170,1.4851412
171,1.5312079
172,1.4904599
173,1.4696394
174,1.5175525
175,1.4541197
176,1.385724
177,1.2812401
178,1.3740883
179,1.4421932
180,1.4508382
181,1.4000576
182,1.3758967
183,1.5117089
184,1.6221856
185,1.6662507
186,1.5185475
187,1.4477332
188,1.6337664
189,1.8346837
190,1.8025079
191,1.7436976
192,1.5693551
193,1.4732187
194,1.482775
195,1.594577
196,1.6281909
197,1.6487565
198,1.6178461
199,1.546055
200,1.4423808
201,1.3880961
