,0
95,87.31732
96,87.68232
97,88.17707
98,87.986626
99,87.3954
100,86.68028
101,86.12984
102,85.30518
103,85.28898
104,85.87735
105,86.5761
106,87.26372
107,88.4628
108,88.35679
109,88.462135
110,88.25106
111,88.26782
112,87.393005
113,86.84838
114,87.11758
115,87.73131
116,88.40262
117,89.62145
118,90.851364
119,91.65173
120,92.58085
121,93.261536
122,93.7187
123,93.77485
124,92.255196
125,92.32392
126,93.008896
127,93.62951
128,94.65367
129,95.27797
130,95.64315
131,95.43041
132,95.64208
133,95.82688
134,95.68536
135,95.7864
136,96.02398
137,95.20872
138,95.25551
139,95.08886
140,95.13642
141,94.80311
142,95.15264
143,94.85664
144,94.881004
145,94.60369
146,94.9209
147,93.91597
148,92.93753
149,92.6118
150,92.56341
151,92.41868
152,92.67271
153,92.554306
154,92.37866
155,92.37374
156,92.793884
157,93.39155
158,93.63127
159,94.19951
160,94.65121
161,95.030815
162,95.62864
163,96.38248
164,96.79434
165,97.13131
