,0
95,3.154831
96,3.0215836
97,2.9110794
98,2.8070831
99,2.8785782
100,2.8915787
101,2.6770782
102,2.6835785
103,2.644577
104,2.4495773
105,2.3488235
106,2.387825
107,2.3260727
108,2.3293228
109,2.4040756
110,2.2318268
111,2.1343231
112,2.3390732
113,2.2513275
114,2.1700745
115,2.1928253
116,2.1148224
117,2.101822
118,2.0368195
119,2.023819
120,2.075821
121,1.9133224
122,1.796318
123,1.7345657
124,1.7443161
125,1.7345657
126,1.7540665
127,1.8808212
128,1.8613205
129,1.796318
130,1.8288193
131,1.8060684
132,1.8093185
133,1.8450699
134,1.8645706
135,1.8385696
136,1.6955643
137,1.7475662
138,1.7995682
139,1.7735672
140,1.7053146
141,1.5688171
142,1.5168152
143,1.4680634
144,1.5363159
145,1.6208191
146,1.767067
147,1.7053146
148,1.7183151
149,1.7768173
150,1.7930679
151,1.9035721
152,1.9458237
153,1.955574
154,1.9848175
155,1.900322
156,1.9263229
157,2.04982
158,2.0433197
159,2.0888214
160,2.0628204
161,2.0823212
162,2.1473236
163,2.186325
164,2.2480774
165,2.2773209
