,0
37,103.52562
38,104.171684
39,102.879555
40,105.261475
41,104.39177
42,104.55151
43,108.484695
44,104.98814
45,107.572395
46,104.182335
47,107.74634
48,109.51059
49,105.509964
50,105.985634
51,108.86807
52,109.35795
53,107.93803
54,106.88019
55,110.216995
56,105.15498
57,107.039925
58,105.49576
59,102.94345
60,105.05559
61,104.45921
62,103.01445
63,105.00944
64,104.40597
65,103.057045
66,103.092545
67,103.42977
68,104.18943
69,103.660515
70,103.532715
71,103.07835
72,101.35314
73,104.39887
74,103.77055
75,101.66197
76,104.88874
77,104.242676
78,102.986046
79,106.6459
80,104.870995
81,105.77975
82,104.7716
83,103.50432
84,105.687454
85,107.24226
86,106.27672
87,107.13932
88,105.92883
89,104.09004
90,106.48615
91,104.125534
92,104.8426
93,106.33707
94,105.64485
95,105.879135
96,106.67429
97,105.90044
98,104.8426
99,102.76241
100,104.88874
101,103.62856
102,105.357315
103,104.61541
104,103.27358
105,103.62053
106,102.32282
107,99.777054
108,96.18532
