,0
54,3.2501891e-06
55,3.2113492e-06
56,4.1591875e-06
57,3.7467082e-06
58,3.3418646e-06
59,3.5425478e-06
60,2.3870718e-06
61,1.6047385e-06
62,1.4583699e-06
63,1.2476843e-06
64,1.3522165e-06
65,1.1397926e-06
66,1.0486756e-06
67,1.0147422e-06
68,1.0946027e-06
69,1.1476133e-06
70,1.0005028e-06
71,1.1754518e-06
72,1.077196e-06
73,4.2761133e-07
74,3.9243446e-07
75,7.584921e-07
76,9.3940923e-07
77,8.1125745e-07
78,7.0442536e-07
79,6.131329e-07
80,4.8989045e-07
81,4.638508e-07
82,5.228288e-07
83,5.908192e-07
84,1.1208258e-06
85,2.137781e-06
86,1.953697e-06
87,1.6975148e-06
88,1.5844598e-06
89,1.3455572e-06
90,9.818543e-07
91,2.4047065e-07
92,1.6135206e-07
93,1.8981684e-07
94,1.8329438e-07
95,1.4053286e-07
96,5.4945893e-08
