,0
62,993.60803
63,933.5346
64,1009.61597
65,1178.2145
66,1290.4401
67,1348.8188
68,1348.5438
69,1360.3438
70,1383.6201
71,1393.7491
72,1393.1193
73,1359.5836
74,1313.3445
75,1260.6461
76,1228.7562
77,1198.5587
78,1174.0917
79,1144.5009
80,1124.5149
81,1085.1572
82,1063.3353
83,1049.3032
84,1040.6865
85,1011.59814
86,971.5034
87,896.36664
88,748.5677
89,606.6465
90,564.2143
91,565.159
92,567.7588
93,599.95044
94,560.467
95,597.0035
96,899.05347
97,1028.4167
98,1161.3508
