,0
88,6.17524
89,6.118438
90,6.020913
91,5.797371
92,5.509369
93,5.136135
94,4.6559496
95,4.5547333
96,4.490355
97,4.3366666
98,4.340742
99,7.948768
100,10.061037
101,11.692468
102,12.858361
103,14.374246
104,14.842265
105,15.169481
106,15.393861
107,15.5735
108,15.709119
109,15.719034
110,15.675806
111,15.675806
112,15.596903
113,15.490252
114,15.445231
115,15.259327
116,15.129082
117,14.713195
118,14.481833
119,13.959958
120,13.84776
121,13.208582
122,12.93071
123,12.426151
124,12.219752
125,11.810645
126,11.588892
127,11.502596
128,11.597857
129,11.605139
130,11.717537
131,11.723821
132,11.684021
133,11.491717
134,11.415087
135,11.319375
136,10.376552
137,8.926021
138,7.640544
