,0
114,-0.9446783
115,-1.7441297
116,-2.1710882
117,-2.3090997
118,-2.3501801
119,-2.1360083
120,-1.9393766
121,-0.6852722
122,-2.241248
123,-3.165325
124,-2.9040723
125,-3.02639
126,-2.9442296
127,-2.9225354
128,-2.8472984
129,-2.547735
130,-1.4482589
131,-1.834137
132,-1.737206
133,-1.3596361
134,-1.1694663
135,-1.0697658
136,-1.2013152
137,-1.2248554
138,-1.335634
139,-1.1980841
140,-1.1463876
141,-1.1639273
142,-1.1353097
143,-0.6552696
144,-0.71665955
145,-0.68481064
146,-0.52187395
147,-0.5103345
148,-0.57910967
149,-0.43371248
150,-0.4503293
151,-0.4378667
152,-0.3815546
153,-0.3409357
154,-0.30770206
155,-0.2744689
156,-0.3113947
157,-0.29985523
158,-0.32754993
159,-0.4761777
160,-0.40047932
161,-0.30216312
162,-0.3003168
163,-0.26292944
164,-0.20569372
165,-0.19092321
166,-0.2744689
167,-0.18076849
168,-0.19646215
169,-0.20569372
170,-0.20384741
171,-0.24261999
172,-0.2273879
173,-0.18399954
174,-0.17707586
