,0
48,-0.017752452
49,-0.017829297
50,-0.020573545
51,-0.02061769
52,-0.02064548
53,-0.020285793
54,-0.0196964
55,-0.020759925
56,-0.022367893
57,-0.020049544
58,-0.024150802
59,-0.016765766
60,-0.018913262
61,-0.010580783
62,-0.011475913
63,-0.011134204
64,-0.0068506594
65,-0.0050922786
66,-0.003827653
67,-0.00546668
68,-0.004764468
69,-0.005375941
70,-0.008297581
71,-0.014360771
72,-0.01566218
73,-0.012482217
74,-0.0125893075
75,-0.014269211
76,-0.014337056
77,-0.012602385
78,-0.01170726
79,-0.010988697
80,-0.011586266
81,-0.011027225
