,0
0,3.2367768
1,2.727584
2,3.0553727
3,2.979822
4,2.6785939
5,2.3655481
6,1.7454072
7,1.6776307
8,1.8985375
9,1.8742913
10,2.091064
11,2.315649
12,1.6491612
13,1.4527395
14,2.2062583
15,0.99174535
16,0.21971592
17,0.4987663
18,0.38827342
19,0.9306236
20,0.64628303
21,1.5648605
22,2.329612
23,2.8865495
24,2.7785704
25,2.9225872
26,3.0878646
27,2.4983604
28,0.33642596
29,0.23515174
30,0.18723765
31,0.31549504
32,0.13432088
33,0.34713653
34,0.17070651
35,1.4899722
36,2.96089
37,2.7117414
38,3.0953944
39,2.945644
40,4.069068
41,0.8959085
42,0.81361806
43,0.19222116
44,0.69857067
45,0.7859035
46,0.9529013
47,1.3461524
48,1.6498392
49,0.7539652
50,0.38475507
51,0.82979214
52,2.1021557
53,1.6568396
54,0.73170656
55,1.4123383
56,0.73389155
57,0.26358315
58,0.44272298
59,0.78207386
60,0.36601213
61,0.24510773
62,0.53380257
63,0.13039505
64,0.22545724
65,3.8295043
66,3.5014894
67,2.550764
68,1.8114891
