,0
0,5.3906493
1,5.12666
2,5.0626273
3,4.97676
4,5.015357
5,5.163084
6,5.532148
7,5.878759
8,6.0252175
9,6.128004
10,6.350645
11,6.5489206
12,6.9909077
13,7.283057
14,7.4513173
15,7.6426716
16,7.366202
17,7.4120827
18,7.2752995
19,7.2496343
20,7.183796
21,6.9764614
22,6.610989
23,6.4601116
24,6.620902
25,6.708693
26,6.811268
27,7.063043
28,6.4360447
29,6.6052575
30,6.9639482
31,7.1420903
32,7.299684
33,7.4483166
34,7.4256907
35,7.348958
36,7.2687764
37,7.0654135
38,7.0585384
39,7.0126767
40,7.1404037
41,7.6896315
42,8.3722315
43,9.228524
44,10.2556505
45,11.100928
46,11.753682
47,12.004577
48,12.41141
49,13.161422
50,13.378598
51,13.845758
52,12.949716
53,13.210787
54,13.195635
55,13.33573
56,13.658273
57,13.573679
58,13.885994
59,13.9087305
60,13.926174
61,13.99218
62,14.50943
63,14.612551
64,14.342786
65,15.267223
66,15.709162
67,16.037317
68,15.993805
69,16.026937
70,16.067507
71,16.09272
72,16.460808
73,17.13224
74,17.95063
75,18.76773
76,20.22587
77,20.481201
78,20.346235
79,20.268604
80,20.262848
81,20.198812
82,20.140024
83,19.98225
84,19.85942
85,19.874504
86,20.10993
87,20.424425
88,22.092648
89,22.435167
90,23.363276
91,23.838621
92,24.254522
93,24.645086
94,24.61086
95,24.621832
96,24.534431
97,24.369444
