,0
0,110.54337
1,112.18847
2,113.719185
3,112.76106
4,113.15579
5,111.039055
6,110.778206
7,112.2737
8,111.367096
9,110.35554
10,109.71871
11,110.97734
12,111.01989
13,109.69803
14,110.65515
15,109.42093
16,110.2808
17,109.711655
18,111.57102
19,110.53426
20,111.457214
21,111.07244
22,112.16839
23,113.65933
24,112.89946
25,113.18019
26,112.07826
27,111.39629
28,111.152466
29,110.51863
30,110.39789
31,109.70397
32,111.93959
33,112.89521
34,111.626495
35,113.63188
36,112.23438
37,113.68277
38,111.9648
39,113.3695
40,111.40747
41,112.732445
42,112.96946
43,112.12027
44,112.08751
45,111.03754
46,109.187416
47,106.79345
48,106.60303
49,103.24466
50,99.74833
51,95.16586
52,89.87684
53,90.32954
54,86.794075
55,80.58283
56,79.72951
57,71.97945
58,69.57114
59,72.1743
60,71.11857
61,69.477196
62,75.11437
63,74.653275
64,74.3139
65,72.67956
