,0
0,12.269639
1,12.559595
2,12.907221
3,13.069734
4,13.457312
5,13.431501
6,13.803179
7,14.640066
8,15.303263
9,15.805735
10,16.795458
11,16.747969
12,16.983923
13,17.80325
14,18.913557
15,19.163418
16,20.034706
17,20.405062
18,19.88964
19,19.766191
20,19.950096
21,21.91691
22,21.849552
23,20.978266
24,21.151451
25,21.017054
26,21.46936
27,22.712835
28,23.00775
29,23.233816
30,22.720001
31,23.7815
32,24.914612
33,24.658346
34,24.162779
35,22.634687
36,23.291428
37,23.436455
38,25.49109
39,28.379364
40,29.6883
41,30.798311
42,30.954678
43,31.022837
44,30.873203
45,31.164402
46,32.006824
47,31.452232
48,30.384533
49,30.768751
50,29.388245
51,27.655525
52,27.66508
53,27.945604
