,0
0,183.4999
1,223.15392
2,244.57756
3,251.57765
4,259.08768
5,241.23186
6,227.64946
7,218.35587
8,214.5779
9,209.03606
10,197.56345
11,203.88834
12,216.5448
13,220.48483
14,232.79321
15,233.46014
16,257.1044
17,262.74734
18,259.09015
19,249.06546
20,241.75827
21,234.85727
22,232.08054
23,230.93414
24,236.77388
25,230.63452
26,225.2891
27,217.95735
28,206.07997
29,209.93982
30,205.40192
31,198.1048
32,191.4928
33,187.95963
34,188.67847
35,179.11195
36,172.17351
37,171.21507
38,171.14795
39,169.63281
40,176.70538
41,174.61353
42,179.7102
43,181.79259
44,178.74876
45,175.29144
46,172.04698
47,172.63881
48,172.65611
49,175.49522
50,180.1247
51,178.20769
52,173.60681
53,177.8361
54,173.92361
55,175.55626
56,178.11432
57,173.97946
58,174.26894
59,174.53665
60,174.96869
61,174.92783
62,181.2448
63,180.47937
64,179.26755
65,175.96214
66,177.66946
67,187.06018
68,205.68617
69,232.49963
70,248.46533
71,262.29843
72,268.5393
73,273.93353
74,276.6931
75,273.05792
76,277.98404
77,276.78232
78,275.48703
79,270.76343
80,269.2863
81,268.2076
82,265.63373
83,261.06277
84,256.02237
85,253.23976
86,250.05699
87,244.72845
