,0
0,14.03035
1,14.440033
2,11.21994
3,13.012894
4,13.362366
5,13.178436
6,13.230591
7,13.257416
8,13.656662
9,14.114578
10,13.869553
11,14.353638
12,14.532318
13,14.832672
14,15.124512
15,15.903809
16,16.245682
17,17.056473
18,18.433197
19,19.13092
20,19.11641
21,19.447174
22,16.5672
23,16.301163
24,17.979004
25,19.128616
26,19.057083
27,18.180191
28,16.783203
29,16.346039
30,15.962784
31,15.364746
32,15.035095
33,14.519699
34,14.539764
35,14.382675
36,14.996445
37,14.757004
38,14.178177
39,14.7578125
40,14.7724
41,15.850647
42,15.989914
43,16.563126
44,17.78334
