,0
0,4.6657104
1,5.087448
2,5.184952
3,6.171524
4,7.150238
5,7.374008
6,6.906662
7,7.274765
8,7.3116455
9,6.840744
10,7.359024
11,7.6499023
12,7.86644
13,9.210754
14,8.088211
15,7.492691
16,8.105591
17,9.327896
18,10.426453
19,11.216309
20,10.871414
21,11.884598
22,12.439331
23,12.69931
24,13.225525
25,14.138153
26,14.539658
27,14.544571
28,14.465363
29,14.659851
30,14.218033
31,14.422073
32,15.1918335
33,15.62117
34,15.735107
35,16.237473
36,16.328735
37,16.570114
38,15.95694
39,15.093109
40,15.159622
41,14.995117
42,15.002579
43,15.17601
44,15.071976
45,15.637848
46,16.512466
47,16.654755
48,17.231598
49,16.466965
50,16.98375
51,19.188065
52,18.218063
53,17.670517
54,17.204224
55,17.069366
56,16.84552
57,17.178299
58,16.74408
59,16.796555
60,16.644394
61,17.16536
62,17.37181
63,16.52629
64,17.90326
65,18.058716
66,18.302963
67,18.370422
68,17.034607
69,16.680176
70,16.265121
71,16.157257
72,16.478302
73,16.437302
74,16.470139
75,16.695053
76,16.88829
77,17.087402
78,17.117157
79,17.042084
80,16.934738
81,16.992203
82,16.734406
83,16.838074
84,17.138382
85,18.288559
86,18.294006
87,18.750305
88,18.911133
89,19.04132
90,19.043915
91,19.039581
92,18.990646
93,18.804733
94,18.689316
95,18.420853
96,18.343552
97,18.233063
98,17.785614
99,17.430893
100,17.354797
101,16.87355
102,16.528717
103,15.897369
104,15.097107
105,14.778641
106,14.104935
107,13.611816
108,14.74292
109,13.303864
110,15.080109
111,15.625214
112,14.256531
113,14.998932
114,13.678421
115,13.633942
116,14.47908
117,14.726257
118,15.848099
119,16.778427
120,17.679535
130,18.058472
131,18.403564
132,19.538406
133,20.069382
134,20.659912
135,19.562515
136,18.439362
138,17.156128
168,12.59906
169,12.502945
170,12.351044
171,11.716339
172,11.685638
173,11.702621
174,11.596008
