,0
0,-9.552948
1,-10.517975
2,-10.719681
3,-10.899292
4,-11.198257
5,-11.567566
6,-12.363907
7,-13.826004
8,-14.870117
9,-14.976059
10,-13.737686
11,-13.830536
12,-13.651184
13,-13.207672
14,-13.079926
15,-13.449158
16,-13.471649
17,-13.652145
18,-13.728577
19,-14.206604
20,-13.923767
21,-12.654465
22,-12.7469635
23,-13.475739
24,-13.08046
25,-11.952164
26,-11.390945
27,-10.868286
28,-11.0890045
29,-10.766022
30,-9.882782
31,-8.163132
32,-7.760742
33,-6.877945
34,-8.956863
35,-8.565857
36,-8.147522
37,-10.638428
38,-12.656418
39,-14.898941
88,-12.367859
89,-12.6688385
90,-12.7786255
91,-12.983826
92,-13.647903
93,-13.99823
94,-14.375656
95,-14.554306
96,-14.928787
97,-15.401993
98,-16.099731
99,-16.79483
100,-17.007462
101,-17.412094
102,-18.030472
103,-18.805725
104,-18.846283
105,-18.63562
106,-16.843933
107,-16.276611
108,-16.18103
109,-15.553452
110,-14.812241
111,-14.064331
112,-13.034256
113,-11.796066
114,-11.423309
115,-11.847717
116,-12.31189
117,-12.841003
118,-12.863358
119,-13.093384
120,-13.4366
121,-13.533173
122,-14.056656
123,-14.763443
124,-16.43924
125,-18.082657
126,-18.739792
127,-19.292435
128,-19.401077
129,-18.960403
