,0
0,274.64215
1,273.09622
2,272.5644
3,273.07123
4,274.05142
5,274.9172
6,275.84164
7,276.80746
8,277.64484
9,278.0214
10,278.61282
11,278.53778
12,278.5837
13,278.25812
14,278.87595
15,278.9717
16,279.30032
17,279.72662
18,279.80853
19,280.13852
20,280.21753
21,280.40662
22,280.33466
94,271.82257
95,271.66718
96,271.47656
97,271.51733
98,271.46423
99,271.39
100,271.39825
101,271.40454
102,271.04834
103,271.11026
104,271.14703
105,271.53937
106,271.57422
107,271.6118
108,271.6613
