,0
0,281.16925
1,282.21332
2,281.91437
3,281.3926
4,283.03537
5,283.4386
6,284.56876
7,283.4729
8,282.46628
9,281.22937
10,281.60095
11,281.39288
12,281.1947
13,281.32092
14,281.5705
15,281.27905
16,282.87964
17,283.74023
18,284.54773
19,285.0091
20,285.5459
21,285.9967
22,286.2527
23,286.49164
24,286.40024
25,286.8355
26,287.081
27,287.03232
28,287.6372
29,287.77524
30,287.40338
31,287.24442
32,286.7888
33,286.39606
34,286.37744
35,286.29868
36,285.9322
37,286.02213
38,285.42297
39,285.41656
40,285.38458
41,285.5572
42,285.5664
43,285.3404
44,285.208
45,285.1108
46,285.2702
47,285.4042
