,0
0,3295.476
1,3188.727
2,3710.2798
3,3720.0332
4,3343.9736
5,3878.2603
6,5028.656
7,6140.3076
8,6072.3027
9,5525.282
10,4945.207
11,4331.2656
12,5314.2227
13,4819.493
14,6069.0513
15,4911.6113
16,5535.3066
17,7806.295
18,
19,
20,
21,
22,
23,
24,2366.1646
25,4905.109
26,8016.2705
27,1978.7256
28,2413.8496
29,1967.3462
30,1901.2378
31,1773.627
32,1404.0698
33,3063.8257
34,3918.63
35,5449.149
36,1024.2173
74,2579.1206
75,3537.9644
76,3620.058
77,3390.5747
78,3593.7769
79,3971.4624
80,4225.0586
81,3510.0576
82,2057.2974
83,1587.7646
84,4620.6255
85,4015.896
86,992.2466
87,835.6455
88,487.76367
89,1208.7246
90,
91,
92,2462.8887
93,
94,
95,2607.0269
96,1215.769
97,1117.9609
98,942.93604
99,441.9746
100,404.85645
101,425.44824
102,423.00977
103,448.74805
104,455.52148
105,407.29492
106,406.48242
107,379.93066
108,370.71875
109,445.49707
110,445.76758
111,761.9507
112,1193.0103
113,1923.9966
114,917.46826
115,494.80762
116,436.55664
117,407.5664
118,675.251
119,1378.8726
120,1301.3848
121,1251.8037
122,1044.8081
123,1083.0103
124,921.8032
125,984.38965
126,
127,
128,
129,
